title,body
"How common was it for a father to be at the birth in the late 1700s early 1800s?","<p>I've got several old records for this family, all births for children of Johannes and Anna Gerdruth. They all seem to explicitly state that Johannes was present at the birth.</p>

<p>The fact that they all say this leads me to think this isn't common for the time, is that true? Given that he was a shepherd, I wonder if it was possibly the distance to help that would have necessitated it.</p>

<p><a href=""https://i.stack.imgur.com/ZD5Gu.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ZD5Gu.png"" alt=""enter image description here""></a></p>

<p>6./ d(en) 26 ten ejus(dem)
Johannes, des Schäfers Johannei Zaun et ux. Anna Gerdruth ge.
Rüppel ehel. Söhl. nat. den 19ten ej. Morgens um 1 Uhr Die Ge- 
vatterstelle vertrat derVater selbst</p>

<p><a href=""http://forum.ahnenforschung.net/showthread.php?t=132753"" rel=""nofollow noreferrer"">From here</a>.</p>
"
"Ostrow, Ostrowez, or Ostroweic Russia before 1907- where now?","<p>My relatives were from Ostrow, Ostrowez, or Ostroweic Russia before 1907. Is this now in Poland? Where?</p>

<p>I will be travelling to Poland in a month and I would like to find this place. </p>
"
"Tracing an ancestor from Scotland back to Ireland?","<p>I have a brick wall with Robert Ferrier born circa 1817 to David Ferrier and Margaret McLachlan. He died 15th May 1899 in Houston Renfrewshire. He married Flora McKay 12 July 1840 in Paisley. </p>

<p>I have searched for any clues using <a href=""https://www.irishgenealogy.ie/en/"" rel=""nofollow"">https://www.irishgenealogy.ie/en/</a>, scotlandspeople and Ancestry.co.uk. Is there a particular location in 'Ireland' that I would have to visit? Where would be the best place to start?</p>
"
"What is Ellen M Berry's relationship in this Census Record?","<p>I'm looking at the <a href=""https://familysearch.org/ark:/61903/3:1:33S7-9YYB-H5Z?mode=g&amp;i=22&amp;wc=QZ27-SMQ%3A1589405656%2C1589405655%2C1589396509%2C1589395493%3Fcc%3D1417683&amp;cc=1417683"" rel=""nofollow noreferrer"">1880 census record</a> for a Ellen M Berry. She stuck out to me as odd, being much younger than anyone else in the family, despite the transcription saying she was a daughter. She also has a different last name. I looked at the image of the record, and I see something written immediately before the word Daughter that clearly doesn't fit into the column it is supposed to indicate. I believe it says ""Grand"", as in ""Granddaughter"", but I'm just not good enough at reading such writing to get it perfect. What is the relationship?</p>

<p>I should add that I'm 90% positive that Alfred and Ruth married sometime in the 1870's, for a number of reasons. Previous census records indicate Alfred is married to a Mary, and there seems to be a mixture of the two. I have parents listed for each, that don't match, so I'm quite sure they are two different people. My theory is that Ellen is Ruth's granddaughter from a previous marriage, and I'm hoping this record can prove that. Alfred's oldest child was born in 1858, but she died in 1875, age 17, and no other child of Alfreds even makes sense. </p>

<p><a href=""https://i.stack.imgur.com/ZFbqj.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ZFbqj.png"" alt=""enter image description here""></a></p>
"
"Finding records for indentured servants in South Carolina?","<p>We strongly suspect that our ancestor, Elizabeth Turley, who married Meredith Helm, came to South Carolina as an indentured servant.  She was born in Speldhurst, England in 1778, and was the only one of her family to come to America, having done so by age 15, when she was having children in South Carolina.  She lived in Camben District, Fairfield County, South Carolina.  Does a record still exist to show that this did happen?  Is there a history of this family?</p>
"
"Finding cause of death in 1909 for Scotsman James McMillan in Nagasaki, Japan?","<p>James McMillan was chief engineer for the Straits Steamship Company on the Perak in 1908, working between Singapore, Port Swettenham and Penang. This information is contained in a letter written to the family by James.</p>

<p>James' youngest daughter was Shigeko Mabel McMillan, who married Robert Walker jr. in 1937.  </p>

<p>What was the cause of death of James McMillan who died at his wife's home in Nagasaki on 13 Sept. 1909, aged 49?</p>

<p>Memorial found at <a href=""http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&amp;GRid=77635087"" rel=""nofollow"">Find A Grave</a>, which notes:</p>

<blockquote>
  <p>James McMillan was born in Adrossan, Scotland. He served as a chief engineer in Penang before coming to Nagasaki.   </p>
  
  <p>He died at the home (No. 81 Uma-machi) of his Japanese wife on September 13, 1909 at the age of forty-seven and was buried at Sakamoto International Cemetery.   </p>
  
  <p>McMillan was survived by his wife and four children. His youngest daughter, Shigeko Mabel McMillan, married Robert Walker, Jr. in 1937.  </p>
  
  <p>Burial: Sakamoto International Cemetery, Nagasaki, Nagasaki, Japan</p>
</blockquote>

<p>James' DOB: 23 May 1862 at Ardrossan, Ayr, Scotland, as recorded in a Family document.</p>
"
"How many generations back is suggested by 6 mutations on a yDNA-67 match?","<p>I have a yDNA-111 test that finds a match with a yDNA-67 test with 6 mutations and a name variation, <code>Thorp</code> vs <code>Tharp</code>.  Statistically, how many generations away would our common ancestor be to give a mean of 6 mutations?  How many generations plus or minus would you need to add to the mean to include one standard deviation?  It is suggested that the common ancestor might be 9 generations away, so I'm wondering if that is realistic?  I would imagine that mutations are rarer and thus 6 mutations out of 67 markers would take more than 9 generations to get an average of 3 down our line and another 3 down their line from the common ancestor.  Note that the haplogroup is predicted to be: R-M269 and the Ysearch ID is <code>SC8P7</code>.</p>
"
"Understanding 1807-1812 Pennsylvania land records document?","<p>We found this record a while ago, and have always been a bit puzzled by it, so I'm hoping for some input. The first bit appears that Sarah Penrod may still be living (dated 1807). The second bit dated 1812 seems as if she's died. </p>

<p>I suppose I'm confused as to whether Sarah Penrod is deceased or not in 1807, and if her daughter (Mary Bateman) is the individual responsible for distributing the 8 shares of land, or if Mary is simply selling her land? </p>

<p>Is Christian Rice inheriting land from Sarah Penrod via Mary Bateman? </p>

<p>It's always seemed like an inheritance to me, but never having seen one before, I would love a second opinion here! I do not know who Christian's mother is, only that his father died when he was a child, so it's quite possible this is his mother who had since remarried (although none of his children are named Sarah). Here's the land record: </p>

<blockquote>
  <p>To all people to whom these present shall come, John Bateman and Mary
  his wife, of Somerset Township, Somerset County and State of
  Pennsylvania send greeting, know ye that we the said John Bateman and
  Mary his wife, for and in consideration of the sum of one hundred and
  twenty dollars, lawful money of the United States to them in hand
  paid, hath released, remised, and forever quit claims and by these
  presents doth for themselves and their heirs and assigns remise
  release and forever quit claim all the estate, right, title, interest,
  claim and demand whatsoever, of them the said John and Mary of into
  and out of the one undivided eighth part of a certain, messuage, and
  tract of land situate in the township County and State first
  above-mentioned, adjoining on the south of Christian Rice and Michael
  Walters on the north Jacob Lehmer, Peter Copp and others on the east
  and west being the messuage, land of plantation whereon Mrs. Sarah
  Penrod now lives and occupies, with the appurtenances unto Christian
  Rice, innkeeper, of Milford Township in the County and State aforesaid
  his heirs and assigns.  To have and to hold the said messuage, tract
  of land and promise above mentioned and described unto him the said
  Christian Rice, his heirs and assigns to the only proper use and
  behalf of him the said Christian Rice, his heirs and assigns forever,
  so that neither he the said John Bateman, nor Mary his wife, nor his
  or her heirs or assigns nor any other person or persons for him, her
  or them, or in his, her or them, or in his her or their names or right
  shall of May by any way or means whatsoever at any time hereafter
  claim, challenge or demand any estate, right, title, interest, claim
  or demand of in or to said messuage, lands, and premises, right, title
  interest, claim, or demand of in or to the said premises or any part
  or parcel thereof they and every of them shall be forever bound by
  these presents; and the said John Bateman, and his heirs the said
  messuage, lands, hereditaments, premises with the appurtenances to the
  said Christian Rice, his heirs, and assigns against him the said John
  Bateman and Mary, his wife, and his and her heirs shall and will
  warrant and forever defend.  In witness whereof the said John Bateman
  and Mary, his wife, have hereunto interchangeably set their hands and
  affixed their seals the twelfth day of December in the year of our
  Lord eighteen hundred and seven.  Signed, sealed and delivered in
  presence of Sam Selby, Jeane Selby. John Beatman (seal)Mary Beatman
  seal) Received the 12th day of December 1807 of the within named
  Christian Rice - One hundred and twenty dollars lawful money of the
  United States, it being the full consideration money within mentioned.</p>
  
  <p>Witness at signing         Sam Selby               Jeane Selby </p>
  
  <p>Be it remembered that on the 12 Day of December, John Bateman and
  Mary, his wife, for and in consideration of the sum of Ten Dollars
  lawful money of the United States to them in hand Paid by Christian
  Rice at or before the signing - here of hath this day granted,
  bargained and sold and by these presents doth grant, bargain and sell
  unto him the said Christian Rice all the personal estate, goods, and
  chattels that may be coming or legally their share of distribution of
  personal estate of Mrs. Sarah Penrod at her decease, the said Mary
  Bateman being one of the legal representatives at the decease of the
  said Sarah Penrod.  To have and to hold the said distributive share of
  personal estate unto him the said Christian Rice, his heirs, and
  assigns forever and to and for no other use, interest, or purpose
  whatsoever. In Witness where of they have hereunto set their hands and
  seals the day and year above written, signed, sealed and delivered in
  presents of Sam Selby and Jeane Selby, Somerset County. </p>
  
  <p>John Beatman (seal), Mary Bateman (seal)   </p>
  
  <p>Personally came before me Jacob Schnider, Esquire, a Justice of the
  Peace in and for Somerset County James Clark, who being sworn
  according to law, doth depose and say that he is well acquainted with
  the handwriting of Samuel Selby and that to the best of his knowledge
  the name of Samuel Selby to the above deed is witness of said
  deceased.  Sworn and inscribed Before me 28th October 1812 Jacob
  Schnider (seal)    James Clark</p>
</blockquote>
"
"Identifying Pennsylvania ancestors born early 1900s?","<p>I have hit a brickwall when trying to find any information on my great grandparents on my grandfather's side.  </p>

<p>I found his obituary online when I was actually looking for my uncle's obituary on my mother's side.  My great grandfather's name (Benjamin Earnest) is the same as my brother's name and information I find seems to go back to my brother who I know is very much still alive. My great grandmother's name is Mary Earnest (maiden name: Stevenson). </p>

<p>I just know that they lived in Pennsylvania and that my grandfather Ronald L. Earnest was born in Butler in 1936. (<a href=""http://www.legacy.com/obituaries/name/ronald-earnest-obituary?pid=1000000176659910"" rel=""nofollow"">http://www.legacy.com/obituaries/name/ronald-earnest-obituary?pid=1000000176659910</a>). </p>

<p>I tried finding a census record for 1940 since my grandfather was born in 1936 and was not able to.</p>

<p>I have tried Ancestry.com and Familysearch.org and I can't seem to find anything on any of them which is really frustrating. I have also asked my half brother if he knew anything and he didn't know any information.  I am starting to think I am doing something wrong as I can't seem to find any information and all I want to do is identify my great grandparents.</p>
"
"Gramps syncing with Dropbox or via second Genealogy program?","<p>I use <a href=""https://gramps-project.org/"" rel=""nofollow"">Gramps</a> almost daily and I am very satisfied with it. The only downside it has, in my opinion, is the fact that synchronising its database is fairly risky via Dropbox, s. <a href=""http://gramps.1791082.n4.nabble.com/Gramps-inside-Dropbox-td4594898.html"" rel=""nofollow"">here</a>, or <a href=""http://gramps.1791082.n4.nabble.com/Sync-Gramps-between-two-machines-td2291961.html"" rel=""nofollow"">hassle-ish</a> via USB stick.</p>

<p>Does someone use another program for the sole purpose of synchronising the xml (or gpkg) file exported from Gramps (v. 4.2.2.) on PC 1 (Linux) in order to import it to Gramps (v. 4.2.2.) on PC 2 (Win Vista)? If so, which one?</p>

<p>Does someone has day-to-day experience with Gramps and Dropbox-Sync on two computer? Is it really that dangerous? </p>
"
"Finding Baptism Record for John Bohling who was born 1843 in Hanover, Germany?","<p>I am trying to find a baptism record for John Bohling, Born 14 Feb 1843 in the city of Hanover, Niedersachsen, Germany, Died 15 April 1883 in Utica, New York.  </p>

<ul>
<li>His death date has been verified with an obituary in the Utica, New York newspaper. </li>
<li>His birth date was passed down from John Bohling himself through his direct descendants. </li>
<li>His wife's name was Juliane Julia Bottcher:

<ul>
<li>She was born in Holstein, Germany in 1848.</li>
<li>Her death was in Utica, New York 5 February 1896 and also verified through an obituary in the Utica, New York newspaper</li>
</ul></li>
</ul>

<hr>

<p>Timeline for John Bohling</p>

<ul>
<li>14 Feb 1843 - born in the city of Hanover (Germany) (family documents) </li>
<li>abt Feb 1843 - baptism?, but which religious denomination, which parish?</li>
<li>bef <strike>1869</strike> 1867- arrival in USA</li>
<li>marriage probably bef 1869 - USA <strike>or Germany?</strike><br>
Likely candidate: <a href=""https://familysearch.org/ark:/61903/1:1:2HVQ-69M"" rel=""nofollow noreferrer"">John Bohleng (Bohling) &amp; Juliane W.C.M.Pattcher (Pacher)</a> on 12 October 1867 in Portland, Maine (Maine Vital Records, 1670-1921) - but parents not named, and record is a copy: original (or the marriage intention) may have additional information</li>
<li>abt 1869 - birth in New York of eldest child Henry (per 1870 &amp; 1880 censuses)</li>
<li>1870 - residence Utica, Oneida, New York, United States, <a href=""https://familysearch.org/ark:/61903/1:1:M8V7-1VG"" rel=""nofollow noreferrer"">1870 US Census</a>. Age 27, born Hanover, with spouse Julia (age 23, born Holstein), and son Henry (age 1, born New York)</li>
<li>1880 - residence Utica, Oneida, New York, United States, <a href=""https://familysearch.org/ark:/61903/1:1:MZXN-PGP"" rel=""nofollow noreferrer"">1880 US Census</a>. Age 38, born Germany, with spouse Julia Bohling (age 34, born Germany), and 5 children (11y - 1y, all US-born) Henry Bohling, Carl Bohling, Albert Bohling, John Bohling, William Bohling</li>
<li>15 April 1883 - died in Utica, New York (obituary). Buried in New Forest Cemetery, Utica (Findagrave memorial, <a href=""http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&amp;GRid=%20126691899"" rel=""nofollow noreferrer"">John Bohling</a>)</li>
</ul>
"
"Offline availability of commercially available online sources?","<p>I want to gain an understanding of commercial genealogy services from the perspective of a market that is described as ""embryonic"" (Germany)  in <a href=""http://de.slideshare.net/ancestry/global-family-history-report"" rel=""nofollow"">Ancestry's Ancestry Global Family History Report 2014</a>.</p>

<p>Especially I am wondering to which extent genealogical sources (excluding those from FamilySearch) from the US/UK hosted by Ancestry, MyHeritage and other major commercial players are still available for research elsewhere (public archives, libraries, ...)? Are there sources that are not available elsewhere anymore, resulting in an oligopoly or even a monopoly for commercial providers?</p>

<p>This question might not be answerable in numbers, but maybe you can describe some tendencies.</p>
"
"Deciphering an Intended Marriage from England around 1800","<p>I have a record that is an Intent to Marriage for my very great grandparents George Dutton and Ann Davies. I'm trying to understand exactly what it means, including the handwritten portions. Specifically, I have the following questions:</p>

<ol>
<li>My transcription of the handwritten text states ""George Dutton of Coddington in the bounty and Diocese of? bertha Darem?r and Robert Ruseve of ????? in the land ??????"" I don't see Ann's name here at all (It is mentioned in a part I omitted below). The printed text states We, so I would think her name would be in there.</li>
<li>of Coddington, does that imply that George was born there? Is there anything else in there to indicate where he was born?</li>
<li>The printed portion states something about giving ""the Sum of Five hundred Pounds of good and lawful Money ..."" Was that the cost of marriage in that day? That seems like a very high cost, and I had never heard of a wedding costing such a high cost, I'm just wondering what the story is with that.</li>
</ol>

<p><img src=""https://i.stack.imgur.com/zWZ7x.png"" alt=""enter image description here""></p>
"
"Unable to import data from Ancestor Research Tool (ART)?","<p>I spent a couple of weeks researching my family tree back in 1999 documenting my findings in a program from Everton Publishers named Ancestor Research Tool.  It appears to be a Foxpro database I can open and view the dbf file, the folder contains the following extensions: cdx dbc dbm fpt dbf and an exe that won't start.  The program is long gone I've searched high and low for the program online, called the old 800 # (no joy) and the Everton website is inaccessible. Can anybody help me recover my data? Or have this old program? It advertised a GEDCOM export too bad I didn't do it.</p>
"
"What does O.S. K.U.V stand for on a headstone?","<p>I'm looking at the headstone picture shown on this page:</p>

<ul>
<li><a href=""http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&amp;GRid=23185170"" rel=""nofollow noreferrer"">http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&amp;GRid=23185170</a>
<img src=""https://i.stack.imgur.com/W3IpA.png"" alt=""Grave Stone Detail""> </li>
</ul>

<p>Which has an O.S. K.U.V. symbol with two hands shaking.  The grave is for Louis Kovach, a coal miner who was born on 30 Jun 1872 in Austria and died on 29 Mar 1913 in Samaritan Sanitarium, Pittsburg, Crawford County, Kansas.  He arrived in America in 1904 and lived in East Mineral, Cherokee County, Kansas.  He died in a coal mining accident that broke his back.</p>

<p>One suggestion for K.U.V. is ""Kranken Unterstuetzungs Verein"" which translates to ""Sick Support Team"".  The O.S. probably is ""Order of S...."".</p>
"
"Looking for information on fathers of children born out of wedlock","<p>My aunt had a baby out of wedlock in Florida in the late 1930s or as late as 1941.  My cousin has asked me to find out who his father is.  Were mothers required to name the father back then, and that information was kept under seal?  Or should I assume that there no record whatsoever.  Is there any alternative way to discover the father's identity?</p>
"
"Allegheny County, Lilly PA, April 1924 List of those Involved in KKK & Residents Clash","<p>I am finding evidence that a distant cousin may have participated in or been an organizer of the <a href=""http://www.newspapers.com/clip/1460123/lilly_pa_klu_klux_clan_4_killed_in/"" rel=""nofollow"">Lilly, PA Klu Klux Klan incident</a> where 400 armed Klan members attempted a cross burning in the town and were confronted by the townspeople. Shots were fired and 4 eventually died.</p>

<p>In <a href=""https://lupress.cas2.lehigh.edu/node/165"" rel=""nofollow"">The Ku Klux Klan in Western Pennsylvania, 1921–1928 by John Craig</a> as well as in <a href=""http://www.newspapers.com/clip/1460123/lilly_pa_klu_klux_clan_4_killed_in/"" rel=""nofollow"">newspaper articles</a> the individual is specifically mentioned by their initials and last name. Unfortunately there are several relatives known to have those initials and lived in that area during the time period as well as potential for other family members potentially being involved.</p>

<p>I found in this <a href=""http://journals.psu.edu/wph/article/view/3998"" rel=""nofollow"">journal article</a>, the following text: <em>""and now stored at the State
Archives in Harrisburg. These provide additional information on the 1920s — notably the names and occupations of Klan members and a very detailed series of materials on the next decade.""</em> <strong>AND</strong> <em>""Loucks, Pennsylvania. This work can now be supplemented by the very
substantial Klanarchives :Pennsylvania State Archives, State Police Records,
RG30: Ku Klux Klan records (hereafter cited as ""Klan archive""). This
collection includes five boxes of correspondence, 1922-1940, and three boxes
of ""general"" material from the same period. The latter includes a wide
selection of Klan pamphlets and newspapers.""</em></p>

<p>I have been poking around the PA State Archives Page and found these documents in <a href=""http://www.portal.state.pa.us/portal/server.pt/community/resources_at_the_pennsylvania_state_archives/2843"" rel=""nofollow"">The New Deal Collection</a>, box group 30 which confirms the above mentioned statements and these do not seem to be part of <a href=""http://www.digitalarchives.state.pa.us/"" rel=""nofollow"">ARIAS</a> or any of the other <a href=""http://www.portal.state.pa.us/portal/server.pt/community/state_archives/2887/digital_copies_of_documents/383882"" rel=""nofollow"">online documents</a>. </p>

<blockquote>
  <p>My specific question is: Has anyone taken inventory of the membership or even the leadership details of these 5 boxes of documents and microfilmed, digitized, or even made summary list of those documents and made it available online or something I could request via my library? <strong>OR</strong> Is anyone aware of a full list of individuals <em>(newspaper articles mention a couple dozen only)</em> involved on both sides of the Lilly, PA incident that may be available in now publicly available information? </p>
</blockquote>

<p><em>Note: Yes I could hire a researcher to go and view the state Archives, but this at this point is a curiosity and am just looking for a summary document / membership list vs. details of the content and it is not in my direct line. That said I also do not plan on contacting the current form of the extremist organization for this information as I doubt if they still had records of this detail they would provide it.</em></p>
"
"Requesting copies of WWII Draft Registration cards?","<h2>Background</h2>

<p>An ancestor of mine from Iowa should have <a href=""https://familysearch.org/learn/wiki/en/United_States,_World_War_II_Draft_Registration_Cards_(FamilySearch_Historical_Records)"">registered for the WWII draft</a> in the Fourth Registration, which is also known as the Old Man’s Registration.  <a href=""https://familysearch.org/search/collection/1861144"">FamilySearch has a collection for these records</a>, but records from Iowa have not been indexed (and <a href=""https://familysearch.org/search/image/index#uri=https://familysearch.org/recapi/sord/collection/1339071/waypoints"">Iowa is not available for browsing</a> either).</p>

<p>The <a href=""http://research.archives.gov/description/598910"">physical copy of these draft registration cards</a> are at the National Archives in St. Louis, MO, US.</p>

<h2>Question</h2>

<p>What is a cost effective way to obtain a (scanned) copy of a document from this collection?</p>

<p>I would prefer if I did not have to go to the National Archives myself to obtain the copy. Is there a company (or individual) that I could pay to obtain this copy on my behalf?</p>
"
"What is the actual date of death for this self-contradictory death certificate?","<p>I'm looking at the following death certificate:</p>

<ul>
<li><a href=""http://sharing.ancestry.com/5522904?h=da4a8d"" rel=""nofollow"">http://sharing.ancestry.com/5522904?h=da4a8d</a></li>
</ul>

<p>Which is transcribed in part to read:</p>

<pre><code>Texas Department of Health
Bureau of Vital Statistics
Certificate of Death
File No: 42650
Place of Death: Schlien Hotel, Comfort, Kendall County, Texas, USA
Usual Residence: Center Point, Kerr County, Texas, USA
Name: Maggie Davenport
Died: Aug 18, 1951
Female, White, Widow
Born: July 6, 1869
Age: 82 years, 1 month, 12 days
Occupation: Housewife
Business: Own home
Born: Converse, Texas
Father: N. A. Edens of Kentucky
Mother: Mary Grigsley of Kentucky
Informant: Jxxxx Davenport
Attended: Jun 29, 1951 to Aug 5, 1951
Died: Aug 5, 1951 at 12:45am (is time for date of death?)
Removal: Aug 18, 1951 to Mission Burial Park, San Antonio, Texas
Riebe Funeral Home, Ltd. Earl S. Crumbie
</code></pre>

<p>The certificate says date of death is August 18, 1951 but that is also the removal date.  The attending physician says he last saw her on August 5 (or is it 15) and that she died at 12:45am.</p>

<p>I'm thinking the date of death is really August 5th at 12:45 in the morning and that the death certificate incorrectly put August 18, the removal date as the date of death, but that seems a long time from the 5th to the 18th before burial, so perhaps its really the 15th.</p>

<p>What is the best way to determine the actual date of death here?  I couldn't find any obituaries.</p>
"
"Exporting my tree from Ancestry without latest version of Family Tree Maker","<p>Is it possible to export data from Ancestry without Family Tree Maker?  </p>

<p>I am in the very frustrating situation of having bought Family Tree Maker twice before.  The latest version I have is <strong>FTM 2010 for the Mac</strong>.  </p>

<p>Both versions now won't connect to Ancestry and all the support relates to later versions and upgrading.  Because of this I started using just the Ancestry website directly, but realise now I am locked in, and can't get at my data without buying yet another copy of FTM and this is the only place all my data exists.</p>

<p>Apart from the unnecessary expense, the reviews are awful:
<a href=""https://itunes.apple.com/gb/app/family-tree-maker-mac-3/id871254880?mt=12"" rel=""nofollow"">https://itunes.apple.com/gb/app/family-tree-maker-mac-3/id871254880?mt=12</a></p>

<p>Does anyone know of any other snazzy ways of getting my data out of Ancestry?</p>
"
