title,body
"Kegging and less-than-keg-sized batches","<p>What are the drawbacks (if any) of using a 4-gallon batch with a 5-gallon kegging system? And what if the batch is only two gallons?</p>
"
"How to safely remove mold from corks?","<p>I have a mead that has been sitting bottled in a cool underground closet for about a year, and the corks appear to have some mold growing on the outside.   Apparently the closet is a bit more moist than it should be.</p>

<p>I was hoping to age this mead for quite a few years, so swilling it is not the preferred method of dealing with this.</p>

<p>What is a safe way to remove the mold from the corks?  Will I need to open and re-cork all of the bottles?  </p>

<p>What can I do to prevent this in the future?   Will a wax coating help?</p>

<p><strong>EDIT</strong></p>

<p>I've looked around online a bit, and now I have another question...   Is a moldy cork actually bad?   Will filaments from the mold eventually dig in to the body of the cork deep enough to reach the mead?</p>
"
"Can carbonate reducing solution lead to off flavours?","<p>I live in an area with very high alkalinity ~ 320 mg / l CaCO3. I am planing on using Carbonate Reducing Solution <a href=""http://www.brupaks.com/water%20treatment.htm"" rel=""nofollow"">CRS</a> to bring the alkality down to acceptable levels for pale ales. To lower the alkalinity to ~ 40 mg/l CaCO3 i will need to add roughly 1.5 ml of CRS for every litre of mash liquid. </p>

<p>My question is, at this level Am i likely to taste the CRS? If there are likely to be off flavours i will probably cut my tap water with a known bottled water, although in the UK it is difficult to get hold of RO or DI water. Is there a better acid source to achieve my goal? </p>
"
"Adding strawberries to half of a batch - too much oxidation in carboy?","<p>I am currently fermenting a blonde ale, and I was thinking of adding strawberries after primary fermentation. However I don't want a full batch of stawberry ale, so I plan to rack only half of the 5 gallon batch onto strawberries.</p>

<p>I have another 5 gallon carboy that I can use, but am I risking significant oxidation by having half the carboy full of air? Is there anything else I can do? Should I buy a couple 1 gallon growlers? Other options? </p>

<p>Thanks!</p>
"
"Can I make urwagwa?","<p><a href=""http://en.wikipedia.org/wiki/Banana_beer"">Urwagwa</a> is a popular beer in Rwanda made from bananas, and I'd like to brew some myself. The recipes and methods I've read online have some very traditional methods (e.g. Bury the bananas for a while!) and most recipes ask for Sorghum as a leavening agent. </p>

<p>I'd like to know if anyone has a substitute for the <a href=""http://en.wikipedia.org/wiki/Commercial_sorghum"">sorghum</a> and also for the method (the ones I have read only require the brew to be fermented for 24 hours - could/should it be done for longer?) </p>

<p>Could I just follow some basic banana beer recipe - or will that just leave me with something nice, but not authentic?</p>

<p>Sorry if this is too specific, but I got a bit curious and wanted to make something exotic.</p>
"
"Benefits and drawbacks to different tubing types?","<p>We're making some big upgrades to our homebrew system and one of them involves moving everything to 1/2"" fittings and barbs. This means we need 1/2"" tubing that will easily and reliably fit on the barbs.</p>

<p>My question is regarding different options in tubing. I've been using the 3/8"" clear plastic tubing from the LHBS, but I'm curious if anyone has thoughts on other options. Silicon tubing has better temperature characteristics I hear? Does it last longer? Do you worry at all about impacts on the beer? Are there other better options out there?</p>

<p>Specifically I will need tubing to recirculate (I suppose by hand for now) and sparge in our new converted keg mash tun, as well as standard racking needs of course. Eventually (hopefully not too long) I plan on adding a march pump as well.</p>

<p>I haven't been worried about tubing up to now because racking just doesn't take that long, but I was curious if anyone had strong feelings on the matter. Do you all use the clear plastic tubing or have you found a way that works better?</p>
"
"Yeast for very high gravity (1.138) stout","<p>I'm planning to brew a very high gravity stout. I'm expecting an OG between about 1.118 and 1.138 depending on how much my efficiency suffers. I've done this before with decent results, but I think I can provide a better fermentation than I have before.</p>

<p>I'm planning to mash pretty low (140-145F) so that I will have a very fermentable wort, and to minimize residual sugars.</p>

<p>I expect that I will want to use two yeasts; one to achieve the desired flavors (esters) and one to brave the extreme alcohol concentration and eat what it can. I'll probably stick with something like Wyeast 1272 (American Ale II) for the former; the latter I am a bit unsure about.</p>

<p>In the past, I've used champagne yeast, and I can't say I really had problems with it. However, even with a mash focused in the beta-amylase range, I still had a pretty sweet beer -- even after aging for a couple years. I'm wondering if another high-alcohol-tolerance yeast might attenuate a little better.</p>

<p>To this end, I'm considering using another yeast, like the <a href=""http://www.whitelabs.com/beer/strains_wlp775.html"" rel=""noreferrer"">Wyeast 775 Cider Yeast</a>, that claims to attenuate much higher (over 80%). Wyeast even claims in its description of the yeast that it can be used for high gravity beers. <strong>In my case in particular, can a yeast really affect attenuation that much?</strong></p>

<p>More subjectively, <strong>would you recommend another yeast for high alcohol fermentation</strong>?</p>

<p>I'm planning to ferment a bit lower to help keep excessive esters / fusel alcohols out. Something like 66F. <strong>Is this appropriate, or will I be hampering fermentation?</strong></p>

<p>Lastly, <strong>should I let let the ""base yeast"" ferment until it has virtually stopped</strong> before pitching my high-alcohol-tolerance yeast, <strong>or should I pitch as it nears its theoretical tolerance limit</strong>? I ask because I'm concerned about the effects that might occur when the yeast hits its limit.</p>

<p><strong>Edit:</strong> I'm aiming for a 10 gallon batch.</p>

<p><strong>More Edit:</strong> I'm shooting for as much attenuation as possible. If I can get it up near 80, I'll be quite happy. I think I'll make a low gravity Dry Stout as a starter (5-10 gallons at about 1.040).</p>
"
"What's the minimum safe immersion time to sanitize something with StarSan?","<p>How long should I keep something immersed in StarSan/swish it around for to ensure that it's as sanitized as I could reasonably hope it'll be?</p>

<p>I know everyone has a rule of thumb for this (I use 1min myself), but I was wondering if there are any hard numbers (culture tests or contamination rates etc) for this. How long does StarSan take to effectively sanitize something (clean plastic or metal)?</p>
"
"Any need to stop yeast before kegging?","<p>I'm brewing to keg for the first time, finally. I am planning to force carbonate and was wondering: Are there was any steps I need to take to stop any active yeast before putting it in the keg and gassing it up?  Is this even something I need to worry about?</p>

<p>It will have been fermenting about two weeks before going into the keg.</p>
"
"How to properly keep a warm kegged beer (short term)","<p>This is a combination keg/carbonation/beer storage question.</p>

<p>I have only fridge/freezer room for either a carboy or my (currently 1) keg. </p>

<p>I have about half of the corny keg left of a light cream ale, and had to boot it out of my fridge to put in an IPA for a couple/3 week cycle. It was properly carbonated (seemed to work great at 11ish PSI) before I pulled it out and am keeping in a 75ish degree room.</p>

<p>For fun (and science!) I drew a glass off of it yesterday and it was all foam and then flat [tasting] beer under it. </p>

<p>So, my questions, in ""teach a man to fish"" style (and assuming there are no leaks in my system, which I believe to be true):</p>

<p>1) what is the phenomenon that changes how the carbonation level of the beer appears when it is at room temperature? In my mind, I think of a carbonated beer as having bubbles suspended in the liquid once the container is properly pressurized. i.e. a headspace of CO2 that is of sufficient pressure to keep the CO2 suspended in the beer. When dispensing, the pressure equalizes again to maintain that pressure. It's hard for me to visualize how the beer could come out ""flat"" looking if the pressure level of the system hasn't changed. Note, I turned off the CO2 when I took it into room temperature, as it seemed like the right thing to do(?).</p>

<p>Now, at room temp CO2 expands I believe (?), but why exactly did that result in what I observed? I think if I understand that, I'll understand much more about the process.</p>

<p>2) Given #1, and knowing that the beer style matters as far as how it ages, what would you target as a general rule/deadline to get it cold again? </p>

<p>3) Given #1 and #2, should I purge the keg while it is warm and sitting until it's cold again? If so, why?</p>

<p>I know that's a mouthful (or 3), but I feel like I'll understand much more and be able to fish (and drink) if I get these concepts nailed down :)</p>

<p>Thanks! (And as always, if you have articles or chapters of books you'd point to, I'd love those as well/alternately). </p>

<p>(This is brew #4, so surely I'll start to run out of questions soon...)</p>
"
"How to get rid of gas from mead?","<p>I have brewed 5L of mead (1 part honey to 3 parts water). After 9 months I can no longer see any sedimentation in the bottle, however when I taste the mead I can feel it's a little sparkling (besides that it tastes okay). Does it mean, that the mead is still immature or will the gas leave when I put the mead in room temperature? (it now stands in a cellar with temperature several centigrades below room temperature).</p>

<p>So what should I do? Wait a little more or is it safe to bottle the mead now?</p>
"
"Storing a counter-flow chiller","<p>I just got a counter-flow chiller put together and have used it a couple times. Needs some tweaks, but man it really chilled the wort!</p>

<p>After I was done I ran some hot water through it and tried to drain it as best as I could. I was wondering what the best way to possibly store the chiller for a couple of weeks would be so I don't get any weird growth or something inside? Any thoughts? </p>

<ul>
<li>Is blowing it out good enough? </li>
<li>Can I keep starsan in it and just cap the ends? Is that bad for the copper?</li>
</ul>

<p>Thanks everyone! </p>
"
"Brew kettle ball valve straining","<p>I have a 10 gallon brew kettle with a ball valve. I have used it a couple times, and now own a counter-flow chiller. I noticed that all of the hot-break at the bottom of my kettle really seems to gunk up the ball valve and the speed of the draining. I mean it it still flows, but it does add some time to the draining. There are 2 things that I want to be able to do:</p>

<ol>
<li>Be able to add a dip tube of some sort. Right now I leave a sizable amount of liquid at the bottom of the kettle, since the ball valve is off the bottom just a tad ( which turns out to be a bit of liquid in a 10 gallon kettle)...what is the best way to go about this?</li>
<li>Also, with the dip tube of some sort, is there a way to maybe strain some of the hot break out? I mean it feels like it would clog any mesh I try to put in its way. Any thoughts? Is it worth it? I'm not getting a stuck drain, just slowed I guess.</li>
</ol>

<p>Thanks for all of your help!</p>
"
"Yeast Starter blew out!","<p>I made a 2L starter with 2 Wyeast 1056 smack packs, yeast nutrient, a shot of O2 at the beginning and intermittent shaking. Last night it was going strong and this morning it had a nice high krausen. </p>

<p>Then I went to work and came home to find that it went nuts. It wasn't much, but there was a nice little puddle of yeast next to the flask. 
I've learned my lesson to use larger than a 2L flask for a 2L starter.</p>

<p>My questions are:</p>

<p>Did I lose too much yeast? </p>

<p>I'm not brewing until tomorrow morning so will there be enough reproduction of yeast cells by then to replace the lost yeast?</p>

<p>Or, should I just not worry and pitch it like planned?</p>
"
"How long can you store StarSan in its concentrated form?","<p>I recently got back into brewing after a 5 year hiatus, and noticed that my StarSan is a little darker in color than the stuff they sell at the LHBS. The guy at the LHBS said it can lose its potency, but should be fine. I used a little bit more than I would have (not much) if it was fresh, and everything seemed normal.</p>

<p>Has anybody here had to store StarSan for a long period of time (2-5 years)? And if so, how did it work out?</p>
"
"Fastest method of wort chilling","<p>I've heard of many different methods of chilling wort, 
What is the fastest? 
And what's the best cost vs speed solution?</p>
"
"What differentiates the lag phase from fermentation?","<p>When making a starter, the intent is to make yeast. We use stirplates in part to continually oxidize the wort, enabling the yeast to multiply.</p>

<p>In this question <a href=""https://homebrew.stackexchange.com/questions/6283/is-oxidation-of-yeast-starters-a-concern"">about starter oxidation</a>, one of the answers talks about lag transitioning to fermentation and quotes:</p>

<p><a href=""http://en.wikipedia.org/wiki/Fermentation_%28biochemistry%29"" rel=""nofollow noreferrer"">Fermentation</a> (Wikipedia) says,</p>

<blockquote>
  <p>even in the presence of abundant oxygen, yeast cells
  greatly prefer fermentation to oxidative phosphorylation, as long as
  sugars are readily available for consumption (a phenomenon known as
  the Crabtree effect)</p>
</blockquote>

<p>Which makes me wonder, ""what really causes/encourages yeast to multiply?"". If there's plenty of oxygen and sugar, why doesn't yeast just keep multiplying?</p>
"
"Does suspended yeast contribute to high SG?","<p>I've got a SMaSH beer (Baird Maris Otter and EKG) finishing in primary. It's been fermenting for just over a week. Starting Gravity was 1.046. I mashed at 154F for 60 minutes. Fermented with <a href=""http://www.wyeastlab.com/hb_yeaststrain_detail.cfm?ID=141"">WY1335 British Ale II</a>. I didn't make a starter, since the yeast was very fresh, ~95% viability. I oxygenated with pure O2 for 90 seconds. High krausen was observed at 36 hours, and fermentation was vigorous.</p>

<p>1335 is described as medium attenuation, high flocculation. I expected the beer to have started clearing by now, but it's still very cloudy.</p>

<p>I pulled a sample with a wine thief and measured the SG, and took a swig. It tastes very slightly sweet. If I had to guess, I would say 1.012. However, the hydrometer was reading over 1.020 even after de-gassing the sample.</p>

<p>I've drunk a lot of hydrometer samples, and I can't believe that this beer really has so much residual sugar -- it just tastes too dry. Is there anything that could be affecting the hydrometer reading? I wouldn't think that suspended yeast would affect SG, since it's not in solution and therefore not affecting the density of the liquid. Am I wrong? Is there something else that could contribute to an anomalously high gravity reading?</p>
"
"Worried about extent of inflation of Wyeast 4766 package","<p>My friend and I were trying to ferment some raspberries using the WYEAST 4766 Cider yeast. Now it's 1 day after we activated the package and it is still only partially inflated. </p>

<p>Should we buy a new one or do you think it is just a slowly growing yeast and it should be fine? Did anybody else have experiences when using this yeast for mead/wine or cider?</p>

<p>thanks for your answer!</p>
"
"Should I worry about this smell?","<p>I have  stout fermenting and it has been in my carboy for a little over a week. Yesterday I opened the carboy to make a small intial addition of coffee beans and cacao nibs. Well when I opened it and smelled the brew, I got a strange almost plastic or rubber smell coming up from it. </p>

<p>Is this due to how young it is?</p>

<p>Should I worry about it? </p>

<p>I did everything down to the last detail so I cannot imagine it is contaminated. I hope the smell goes away.</p>
"
"Carbonating a keg outside of a fridge until it is ready","<p>My refrigerator is full but I am kegging two Saisons today. </p>

<p>I plan on letting them sit in room temperature for 2 weeks and then moving them into the refrigerator when they are fully carbonated. </p>

<p>Given that my room temperature in the day is about 78F, but my refrigerator is 40*F, how do I set the PSI to account for the change in temperature 2 weeks from now?</p>

<p>Do I simply set the PSI to account for room temperature, and then change the PSI downward after I move the kegs into the colder environment?</p>
"
"Yeast Problems!","<p>Brewing a porter, pitched my yeast and started with a 1.056. My air conditioner broke for 1 day and the beer got to about 80 degrees after about 1 1/2 weeks of fermentation.  Beer has been sitting at 1.036 for two weeks now. Can I repitch? Or is it needing to be dumped? And if I can repitch, does it need to be transferred to a new bucket first?</p>
"
"Additional equipment for cornelius kegging","<p>My local supplier is selling refurbished cornelius kegs for a decent price and I would like to pick one up. I don't know the first thing about kegging though, and more importantly what additional supplies I need to keg up a brew.</p>

<p>I had a quick look at <a href=""http://www.nationalhomebrewclub.com/wiki/doku.php?id=beginner_kegging_guide"" rel=""nofollow noreferrer"">this tutorial</a> but am still a bit confused. Here's my list so far:</p>

<p>Keg:</p>

<p><img src=""https://i.stack.imgur.com/ZzAIH.png"" alt=""enter image description here""></p>

<p>Gas Regulator:</p>

<p><img src=""https://i.stack.imgur.com/dgVL9.png"" alt=""Gas Regulator""></p>

<p>Gas Tank (I'm sceptical about this):</p>

<p><img src=""https://i.stack.imgur.com/38aDd.png"" alt=""enter image description here""></p>

<p>Beer/Gas line and fittings:</p>

<p>Disconnects:</p>

<p><img src=""https://i.stack.imgur.com/HJDbT.png"" alt=""disconnects""></p>

<p>Beer Tap:</p>

<p><img src=""https://i.stack.imgur.com/bTvgz.png"" alt=""enter image description here""></p>

<p>Or</p>

<p>(Seems quite pricey but if it's far superior then I'd get it)
<img src=""https://i.stack.imgur.com/Oflzm.png"" alt=""enter image description here""></p>

<p>Beer Line (Only needed with compensator tap?):</p>

<p><img src=""https://i.stack.imgur.com/wjmFQ.png"" alt=""Beer line""></p>

<p>Gas Line:</p>

<p><img src=""https://i.stack.imgur.com/EP3ya.png"" alt=""Gas Line""></p>

<p>Washers for good measure?:</p>

<p><img src=""https://i.stack.imgur.com/QYMSr.png"" alt=""enter image description here""></p>

<p>Does this seem like a reasonable shopping list? Do I need one / more of anything? <a href=""https://www.thehomebrewcompany.ie"" rel=""nofollow noreferrer"">This</a> is my supplier, if anyone wants to make alternative suggestions, they would be more than welcome to.</p>

<p>Any advice is greatly appreciated!</p>
"
"When should I add campden tablets?","<p>So I'm still pretty new to home brewing, I recently finished my first batch of cider from a kit and the end results where ok. Nothing amazing, but it was something I made and feels extra rewarding.</p>

<p>Now onto the question, I plan to start my 2nd brew tomorrow, again, from a cider kit (<a href=""http://www.wilko.com/cider+beer-brewing/wilko-forest-fruits-cider-kit/invt/0318709"" rel=""nofollow"">This kit to be precise</a>). I will be using tap water for my brew, since it's not really possible for me to transport 20 litres (5 gallons) of bottled water, without a car. I want to know, at what stage should I add my campden tablet(s) to remove all chlorine from the water?</p>

<p>Should I put the water in the bucket tonight, add the tablet(s) and then leave it 24hr, before adding the mixture, sugar and yeast?</p>

<p>Or, should I wait till tomorrow, add the sugar and mixture, then add the tablets and wait 24 hours before adding the yeast?</p>

<p>Bonus Question: Best ways to add carbonation to my cider? The sugar added into he pressure keg created lots of c02 to push the liquid out the tap, but the cider itself is flat when tasting.</p>

<p>Thanks and sorry for the long post :)</p>
"
"Best way to estimate remaining fermentable sugars?","<p>This question is kind of for the chemists here, but I'm open to any ideas.</p>

<p>In this <a href=""https://homebrew.stackexchange.com/questions/15787/yeast-problems"">question</a> Denny Conn, who is far more experienced than me, asserted that a beer is likely finished fermenting, despite being at 1.036 (from a start of 1.056). This would be a beer that's about 2.6% alcohol and 9% unfermentables. To me, that would be undrinkable. Many people suggested rousing the yeast and/or re-pitching to finish out the fermentation.</p>

<p>The important point is, how do you know whether that supposedly stuck beer has any fermentable sugar left? The yeast might have given up early, which is a common enough problem. Or maybe the mash temp was missed by a lot? Or maybe something toxic got into the beer, causing the yeast to die early.</p>

<p>Other than re-pitching and hoping for the best, is there any way to measure the simple sugars? I usually suggest tasting the beer, but the amount of hops will affect the interpretation (as will the taster). I'm hoping for a test as quick and clear as a starch test.</p>
"
"Dynamics temperature measurement","<p>We fight to keep the fermentation temperature controlled, usually constant, but the fermentation is an exothermic activity, so in one side we try to remove energy, and in the other (inside, mainly in the middle), the energy is produced, and keep increasing along the fermentation.</p>

<p>So, if we measure the temperature in the fermenter walls we'll get one very near to the last one applied in the environment that is cooling the fermenter. But if we measure inside the fermenter (the wort), and keep going from edges to the center of the fermenter, the temperature grows progressively.</p>

<p>Considering the thermodynamics in fermentation when cooling is done from fermenter walls, if we measure the most hot point, we will have a lot of wort (in the fermenter edges) some degrees below the expected temperature. So if we measure it in the edges, we'll have a lot of wort (in the center) above the expected temperature.
<a href=""https://i.stack.imgur.com/zUbqI.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/zUbqI.png"" alt=""enter image description here""></a></p>

<p>In the dynamics of fermentation temperature control, how/where is the best spot to measure the temperature ? Center, edges, 1/2 from the center ?</p>
"
"Which kind of hop should be used on a First Wort Hopped (FWH) beer?","<p>Should I use Aroma or Bittering hop on my FWH?
The time between the FWH and the boiling should be taken into account or it does not matter?</p>
"
"Mash Boiler – What's a good boiler?","<p>i'm new to the brewing game and am currently waiting for a few whole grain brews to come of age.</p>

<p>One thing i'd like to do is purchase a larger mash boiler and dedicate a bit of space in the shed for my 'micro-brewery'.</p>

<p>What makes a good boiler? Where should I start?</p>

<p>Any suggestions would be gratefully received!</p>

<p>Rik</p>
"
"Sweeting and Bottling a cider/cyser","<p>I fermented 5 gallons of cider from 1.044 to 1.0. It's very tart, so I want to add 2 lbs of honey to sweeten it up. </p>

<p>I also want to bottle it with some carbonation. How do I prevent the honey from fermenting it back down to 1.0 and still sweeten the cyser? </p>

<p>I looked at carbonation tablets, but they just appear to be modified sugar cubes.
If I stop the fermentation with Campden, can I still bottle carb it?</p>
"
