title,source,q1,q2,sep
Are Lutherans comfortable with worshipping a consecrated host or do they consider it to be idolatry?,Christianity_21,Does it happen during the liturgy?,Does it happen outside the liturgy?,0
Who is being referred to in Isaiah 42:6?,Christianity_23,Is the speaker addressing and referring to Isaiah?,Did God make a covenant with Isaiah as light of the nations?,0
Does Catholicism Share Some Beliefs with Deism?,Christianity_24,For instance:  According to Catholic Tradition - Might God apologize for some things after we die?,So does Catholicism share some beliefs with Deism?,529
What are the general categories of benefits of being part of a denomination?,Christianity_26,What is the general rationale for a Protestant church to be part of a denomination rather than being independent?,What general types of benefits are there in not being independent?,0
"Are there any Christian sects that allow for the existence of other ""God"" claims?",Christianity_27,"Are there any Christian sects that allow for the existence of other ""God"" claims?","Are there any other Christian sects that allow for multiple ""God"" claims?",337
What is the Catholic view of separation of church and state in terms of war and application of the death penalty?,Christianity_28,So it really leaves me wondering: Does the Catholic Church still think such things are OK?,"Is it OK that at times in history, or potentially the future, Catholics will bear the sword and become a civil power rather then a spiritual one only?",0
What is the Catholic view of separation of church and state in terms of war and application of the death penalty?,Christianity_28,"Is it OK that at times in history, or potentially the future, Catholics will bear the sword and become a civil power rather then a spiritual one only?",Does the Catholic church separate church and state or assume it is a state with power to declare war and kill if it seems God's will?,329
Do the Majority of Denominations believe in a literal flood or a metaphorical one?,Christianity_29,"Since science can prove floods happened thousands of years ago much smaller than a global flood, wouldn't the global flood in Genesis have huge proof?",My question is what does the church (any of the hundreds of major denominations) have to say to respond to this?,83
Do the Majority of Denominations believe in a literal flood or a metaphorical one?,Christianity_29,My question is what does the church (any of the hundreds of major denominations) have to say to respond to this?,"Is it a metaphor, or does the majority of the separate churches still believe in a literal flood?",0
What does John 3:16 mean according to Calvinism?,Christianity_30,"I now see it like this : For God so loved His elected that He gave His one and only Son, in order that His elected shall not perish but have eternal life  Since I'm not originally a Calvinist, my question is this:  Do all Calvinists interpret John 3:16 as I do above?","In other words, do Calvinists view John 3:16 as a plain statement of fact instead of Christ offering salvation?",0
What does John 3:16 mean according to Calvinism?,Christianity_30,"In other words, do Calvinists view John 3:16 as a plain statement of fact instead of Christ offering salvation?","If not, how do Calvinists interpret this verse?",0
"How does ""believe that you have received it"" practice in the ​Christian life?",Christianity_31,What is the catholic interpretation of the verse?,The reason I'm asking because I wonder if this is the same or similar interpretation as the New Age movements offers?,0
"How does ""believe that you have received it"" practice in the ​Christian life?",Christianity_31,The reason I'm asking because I wonder if this is the same or similar interpretation as the New Age movements offers?,“You have to visualize your desire to attract your desire.”   Do we need to go around and visualize or even act like we have already received whatever we asked for in a prayer?,85
"How does ""believe that you have received it"" practice in the ​Christian life?",Christianity_31,“You have to visualize your desire to attract your desire.”   Do we need to go around and visualize or even act like we have already received whatever we asked for in a prayer?,"How does ""believe that you have received it"" manifests/practice in the Christian life?",0
"How does ""believe that you have received it"" practice in the ​Christian life?",Christianity_31,"How does ""believe that you have received it"" manifests/practice in the Christian life?",How does it differ from the New Age understanding?,0
Where does the book of Job come from?,Christianity_32,"What I mean is the following:   Job stands out as being as old as the Torah (if not older) None of the characters are Israelites (especially if it was Abrahamic time when Israel didn't even exist) Every other book can be traced back by tradition, the author is fully unknown   So how did the Jews get a hold of Job scriptures?",or does it not have an answer and is left to theory?,0
Does the Roman-Catholic Church recognize the Quinisext Council?,Christianity_33,Does the Roman-Catholic Church recognize the Quinisext Council and admit its proceedings and canons nowadays?,"And nowadays the Catholic Church has made a lot of steps towards reunion with Eastern Orthodox Churches, so perhaps the Church's entire attitude to this Council has changed?",149
"According to Catholicism, is our world the only one?",Christianity_34,Is this world the only one?,"Might God have created other worlds like this that are independent, having their own history?",0
"According to Catholicism, is our world the only one?",Christianity_34,"Might God have created other worlds like this that are independent, having their own history?",What would be the biblical bases for or against this possibility?,56
"According to Catholicism, is our world the only one?",Christianity_34,What would be the biblical bases for or against this possibility?,What does Catholicism teach?,0
What is the origin of the moral-civil-ceremonial distinction of the Old Testament law?,Christianity_35,"Is there some other supporting reasoning, or an alternative origin other than via Aquinas?","Likewise, is there support for equating the ""moral law"" (which is said to remain on Christians) with the Decalogue?",0
How does the Jehovah's Witness denomination deal with the filial piety among its East Asian believers?,Christianity_37,(Ephesians 6:1-3; Colossians 3:20)      Can the Dead influence the Living?,CAN THE DEAD INFLUENCE THE LIVING?,0
How does the Jehovah's Witness denomination deal with the filial piety among its East Asian believers?,Christianity_37,CAN THE DEAD INFLUENCE THE LIVING?,"In addition, as a sub-question, how does the Jehovah's Witness denomination deal with the filial piety among its East Asian believers (and those in the diaspora) in cases of disfellowship and shunning?",623
How does the Jehovah's Witness denomination deal with the filial piety among its East Asian believers?,Christianity_37,"In addition, as a sub-question, how does the Jehovah's Witness denomination deal with the filial piety among its East Asian believers (and those in the diaspora) in cases of disfellowship and shunning?","Given that the JW denomination has a hierarchical church polity, has there been an official church pronouncement about this cultural value that may or may not conflict with this church denomination?",0
How does the Jehovah's Witness denomination deal with the filial piety among its East Asian believers?,Christianity_37,"Given that the JW denomination has a hierarchical church polity, has there been an official church pronouncement about this cultural value that may or may not conflict with this church denomination?","So, does the Jehovah's Witness Watchtower have anything to say about the likely conflict between its own tradition and traditional Chinese beliefs and practices?",0
What is the Biblical basis for continuationism?,Christianity_39,What Bible verses and Biblical arguments support the doctrine of continuationism?,This question is the polar opposite of this one:  What is the basis for Cessationism?,0
Is Catholicism the only religion to uphold the indissolubility of marriage?,Christianity_40,Is Catholicism the only religion to uphold the indissolubility of marriage?,"If not, which others do?",0
"According to Catholicism, what is wrong with Luther's doctrine of ubiquity?",Christianity_41,"[372, emphasis added]   So, I'm wondering—how do Catholics view the distinction between Luther's doctrine of ubiquity and whatever solution Catholicism uses that allows Jesus's physical body to be present in more than one place at one time?","What makes Luther's view ""untenable"" in their eyes?",0
"According to Catholic theology, why are there two and only two processions in the Godhead?",Christianity_42,Why can't his Son have his own son and so on ad infinitum and therefore be a corresponding infinite number of spirits?,"According to Catholic theology, why are there two and only two processions in the Godhead and therefore three and only three persons in one God?",0
How did Christians cultivate their knowledge of the Bible before mass-printing of the Bible?,Christianity_44,"So, the question I have is, how did the majority of Christians cultivated their knowledge of the Bible (OT and/or NT)?",Is there a formal/historical analysis of this situation?,559
How did Christians cultivate their knowledge of the Bible before mass-printing of the Bible?,Christianity_44,Is there a formal/historical analysis of this situation?,Perhaps a book that goes through this?,0
"When are souls ""received""?",Christianity_46,Do we get it at conception?,"If so, what about twins?",0
"When are souls ""received""?",Christianity_46,"If so, what about twins?","In that case, is abortion okay (especially in the case of medical necessity) before that point?",79
"When are souls ""received""?",Christianity_46,"In that case, is abortion okay (especially in the case of medical necessity) before that point?","Heh, is there even a widely-accepted authoritative source that answers this question?",0
Is there such a thing as a 'concordat' today in the Catholic church?,Christianity_47,"However as the idea of separation of church and state, which is the way the world seems to be going since the founding of America which had multiple church denominations trying to find a new life free of religious persecution; I cant see how any state would consider the pope to have enough literal 'kingly power' as to even consider such a thing as a 'concordat'?","It would seem ridiculous to even imagine such a thing, otherwise states would need to make legal agreements with every religious leader?",0
Is there such a thing as a 'concordat' today in the Catholic church?,Christianity_47,"It would seem ridiculous to even imagine such a thing, otherwise states would need to make legal agreements with every religious leader?",Resulting immediate question: Are there any current states that still maintain some kind of official recognition of a literal state-like power of the Pope through a concordat?,0
"Is the choice, or decision, to accept Salvation through Jesus Christ a Work?",Christianity_48,"From a more Determinist and Calvinist perspective, how does my acceptance of Jesus Christ not classify as a Work, since it was something that I did but that I could have chosen not to do?",How does the Reformed/Calvinist theology resolve this (seeming) contradiction?,393
Reading the genealogy of Adam up to Noah as a sentence in Hebrew,Christianity_50,"First, is it true that the Hebrew names can be translated as such?","Secondly, would the sequence of names form a regular Hebrew sentence (can verbs, a specific tense, a legal sentence structure, or something similar be identified even in the case where some words are lost in translation)?",0
Are Lucifer and Satan different beings?,Christianity_51,Are both Lucifer and Satan mentioned by name in the Bible?,What is the support for considering them the same being?,0
Are Lucifer and Satan different beings?,Christianity_51,What is the support for considering them the same being?,What is the support for considering them separate beings?,0
"How do Seventh Day Adventists understand ""a form of [a] God"" in Philippians 2:6?",Christianity_52,Do they then believe that Jesus' preexistent form was that of an angel all the time or that Michael was a form he adopted when doing messenger work and such?,"In other words is Jesus an angel reincarnated as a man or some other ""divine form"" incarnated as a man?",0
"How do Seventh Day Adventists understand ""a form of [a] God"" in Philippians 2:6?",Christianity_52,"In other words is Jesus an angel reincarnated as a man or some other ""divine form"" incarnated as a man?",And what do they say going on with Michael waging war in heaven post-resurrection?,0
What do the names of the different hours of the divine office mean? Where do they come from? (Etymology),Christianity_53,I was wondering what the different names of the various hours mean in the liturgy of the hours?,Where did they come from and what is their significance?,0
How does the divine office compare between the different rites?,Christianity_54,"When Byzantine Christians pray the Divine Office, how is it different to when Latin Christians pray the Divine Office?",How about Copts?,0
How does the divine office compare between the different rites?,Christianity_54,How about Copts?,What do they have in common and what is different between them?,4
"What traditions fully embrace the concept of a ""local parish church""?",Christianity_55,Are there any traditions that would refuse to let members cross parish lines to attend another church?,Do any others with perhaps a less hard line rule have specific doctrines encouraging this but define exceptions where it might not be required?,0
Can a person be forgiven outside of confession? (Catholic),Christianity_57,"I would imagine Protestants would say yes, but what is the Roman Catholic teaching?","If the answer is yes, how can one be sure he was forgiven without a priest's absolution?",0
What is God waiting for before He ends the world?,Christianity_58,"If God just ended the world now, wouldn't it be better?","So, what is God waiting for?",0
What does Lutheranism teaches in regard the eastern orthodox doctrine of theosis?,Christianity_59,How is such doctrine viewed in Lutheranism?,Or did Luther ever wrote anything in regards to this?,0
"According to the Catholic Church, will people be able to have private conversations with God at any time in Heaven?",Christianity_60,"My Question:  According to the Catholic Church, will it be possible to ask such questions once we're in Heaven?","Specifically,   Did Jesus (or anyone in the Bible) ever talk about the nature of our interactions with God in Heaven?",0
"According to the Catholic Church, will people be able to have private conversations with God at any time in Heaven?",Christianity_60,"Specifically,   Did Jesus (or anyone in the Bible) ever talk about the nature of our interactions with God in Heaven?",Can humans have a private conversation with God in Heaven whenever they want?,0
"According to the Catholic Church, will people be able to have private conversations with God at any time in Heaven?",Christianity_60,Can humans have a private conversation with God in Heaven whenever they want?,Or do they need to schedule an appointment and wait?,0
"According to the Catholic Church, will people be able to have private conversations with God at any time in Heaven?",Christianity_60,Or do they need to schedule an appointment and wait?,"Or do we talk to God through prayer, much like we do on Earth?",0
Is there any biblical doctrine on how to avoid paranoia as a Christian under an Protestant framework? ,Christianity_61,(2 Tim 3:5)  Considering this extreme level of conflict that the poor believer finds himself facing (at least according to the biblical proposal) how can he/she avoid spinning 'conspiracy theories' and falling into ‘they are out to get me’ mentality?,Is there any doctrine about sanctification within an Protestant framework that would enable a Christian to eliminate paranoia in a hostile world?,0
Is promotion of contraception a reason to excommunicate?,Christianity_62,My question is: Could public promotion of something that is against the teaching of the Catholic Church be used to excommunicate?,"If yes, why doesn't the Catholic Church excommunicate her?",0
Is promotion of contraception a reason to excommunicate?,Christianity_62,"If yes, why doesn't the Catholic Church excommunicate her?",Or who/where can claim the case for excommunication?,0
Do Calvinists rejoice in the destruction of sinners?,Christianity_63,Is this attitude toward the damned common among Calvinists?,Is it a necessary conclusion from their particular set of assumptions?,0
Intelligent design - Creationism by a different name?,Christianity_64,Is my interpretation of Intelligent Design off base?,Or is this incorrect and why?,138
Why did God kill a man for picking up sticks on the Sabbath?,Christianity_65,"- Numbers 15: 32-36 (NASB)   Why did God order the execution (and a brutal execution, at that) of a person for picking up sticks on the Sabbath?","Also, how does this align with the justice of God?",604
Why did God kill a man for picking up sticks on the Sabbath?,Christianity_65,"Also, how does this align with the justice of God?",What was God's reason for having such an inverted justice system?,525
Did John Wycliffe accept extreme unction?,Christianity_66,So:   What did Wycliffe believe about extreme unction?,"If he accepted it, on what basis did he do so?",0
Did John Wycliffe accept extreme unction?,Christianity_66,"If he accepted it, on what basis did he do so?",Biblical (contra Shelley)?,0
Did John Wycliffe accept extreme unction?,Christianity_66,Biblical (contra Shelley)?,Or non-biblical?,0
Did John Wycliffe accept extreme unction?,Christianity_66,Or non-biblical?,"If he rejected it, how did he explain James 5:14–15?",0
Did John Wycliffe accept extreme unction?,Christianity_66,"If he rejected it, how did he explain James 5:14–15?",Do his writings indicate that his views changed during his life?,0
Do God and Satan Celebrate Earthly Triumphs?,Christianity_67,My question:   Do God and Satan celebrate earthly triumphs?,For instance:   Did God celebrate after Abraham did as He commanded him to do after 'The Binding of Issac'?,0
Do God and Satan Celebrate Earthly Triumphs?,Christianity_67,For instance:   Did God celebrate after Abraham did as He commanded him to do after 'The Binding of Issac'?,Would Satan have celebrated if Jesus succumbed to his temptations in the desert?,0
Do God and Satan Celebrate Earthly Triumphs?,Christianity_67,Would Satan have celebrated if Jesus succumbed to his temptations in the desert?,Does either continue to celebrate as we live life on planet Earth?,0
Who tells us that the whole Bible is inspired?,Christianity_68,"I understand the inspiration concept, but I don't understand how to consider a quote if it's inspired from God [then we consider it God's Words],  or if it explanations by the the apostle or prophet?","Is there any verse in the Bible says that the whole Bible is inspired, and not absolute-human-talk?",0
The Last Judgement: a civilized trial or a barbaric ordeal?,Christianity_69,"So, then is it correct to understand that at the Last Judgement the Satan will be our prosecutor?",Otherwise how I will even know what I am accused of?,0
The Last Judgement: a civilized trial or a barbaric ordeal?,Christianity_69,Otherwise how I will even know what I am accused of?,?,0
"In pre-tribulation pre-millennialism, will those who have died before the millennium return to earth?",Christianity_72,Will our loved ones come down from Heaven to live on Earth with us?,Or will we have to live 1000 years with God on Earth before returning to Heaven to see our loved ones?,0
"In pre-tribulation pre-millennialism, will those who have died before the millennium return to earth?",Christianity_72,Or will we have to live 1000 years with God on Earth before returning to Heaven to see our loved ones?,How does that work?,0
"In pre-tribulation pre-millennialism, will those who have died before the millennium return to earth?",Christianity_72,How does that work?,Will Heaven on Earth and Heaven become one so that way we will all be able to live together?,0
"In pre-tribulation pre-millennialism, will those who have died before the millennium return to earth?",Christianity_72,Will Heaven on Earth and Heaven become one so that way we will all be able to live together?,Or will (Heaven on Earth) and (Heaven) still be two separate places until God takes us up to heaven after his 1000 year reign?,0
Philosophical proofs that God must be triune?,Christianity_73,What were their arguments?,What are some references regarding this topic?,0
How did the Born Again teaching be associated with one first believing in Jesus Christ?,Christianity_74,How did this teaching get developed?,Who started it?,0
How did the Born Again teaching be associated with one first believing in Jesus Christ?,Christianity_74,Who started it?,"Jesus doesn't plainly say that born again happens when you first believe on Him, so where did that teaching come from?",427
What is the Christian perspective on survival needs not met?,Christianity_76,How can we harmonize a rock solid belief that God Will provide and facts that there are many many people who do not have these needs met?,"Does the collective sin, such as economic injustice, war crimes or greed of others override the promise of God for any of these 925 million who may follow Jesus?",0
Are Catholics required to accept every article of Aquinas's «Summa Theologica»?,Christianity_77,Are all the articles of St. Thomas Aquinas's Summa Theologica to be accepted as the truth by every Catholic?,Are there any criticisms of the Summa Theologica within the Catholic Church?,0
Do Catholic priests have to report child abuse confessed in secret?,Christianity_78,"Is there any canon, regulation, norm or diocesan norm which requires priests to report confessions of child abuse?",Are priests obliged to follow laws to this effect?,0
Why was a sign being sought?,Christianity_79,"Did He say this because the people in His midst were ""seeking from Him a sign from heaven"" and He felt his present miracles should be sufficient?","In that case, why weren't his current miracles enough?",0
Why was a sign being sought?,Christianity_79,"In that case, why weren't his current miracles enough?",Was this common practice in His day?,46
Why was a sign being sought?,Christianity_79,Was this common practice in His day?,Is that why the casting out of demons wasn't enough for the crowd in order to prove He was the Christ?,0
Why is Jesus often depicted with long hair if 1 Corinthians 11:14 says it is disgraceful?,Christianity_80,"According to 1 Corinthians 11:14, it is disgraceful for men to have long hair:       Does not nature itself teach you that if a man wears long hair it is a   disgrace for him?","Why, then, is Jesus often depicted with long hair?",0
"Why or where were the 1000s of people who knew Jesus, why didn't they help",Christianity_81,They saw first hand what miracles he performed...yet no one spoke up for him?,Why didn't these folks start a battle to change things?,407
What is the origin of hands lifting in worship?,Christianity_82,But my question is: When this started on church's history?,Is there some theology behind it?,0
What is the origin of hands lifting in worship?,Christianity_82,Is there some theology behind it?,"Any Father who registered, did or encouraged it?",0
What is the origin of hands lifting in worship?,Christianity_82,"Any Father who registered, did or encouraged it?",Or is this a thing of modern christian movements?,0
The attitude of animals before and after fall,Christianity_84,Did the behaviour of animals to man and each other changed after the fall of man and as a result of the fall of  man?,Or were they influenced by our new nature and attitudes?,0
The attitude of animals before and after fall,Christianity_84,Or were they influenced by our new nature and attitudes?,Or have they been like they were from the beginning?,0
The attitude of animals before and after fall,Christianity_84,Or have they been like they were from the beginning?,"If they have changed, what are the obvious changes?",0
"Do angels possess 1) a body, soul and spirit, 2) a soul and spirit or 3) just a spirit?",Christianity_85,"Luke 24:39 ESV   Are angels, then, classified as spirits, having no flesh and bones?","If so, are they spirits with souls or just spirits?",0
How and when do I take God's word literally?,Christianity_86,"(The passages referenced are found in Corinthians, around chapter 11)   How do I explain that God is often meteorically talented (if and only if I'm right here), and that sometimes we don't need to take EVERYTHING he says literally?",How do I tell if he is telling something that should be taken word for word?,0
What does James mean when he says that Judging a Brother Equals Judging the Law?,Christianity_87,How is judging a brother equal to judging the Law?,What does this mean?,0
What does James mean when he says that Judging a Brother Equals Judging the Law?,Christianity_87,What does this mean?,"Then again if 'A' judges 'B' as wrong (this I understand as based on the Law) and speaks evil of 'B', how is 'A' speaking evil of Law?",0
What does James mean when he says that Judging a Brother Equals Judging the Law?,Christianity_87,"Then again if 'A' judges 'B' as wrong (this I understand as based on the Law) and speaks evil of 'B', how is 'A' speaking evil of Law?",Is there a logic behind this reasoning?,0
Did the early Church Fathers have a complete agreement on how to interpret 1 Peter 3:18-20?,Christianity_88,Did the early Church Fathers have a complete agreement on how to interpret 1 Peter 3:18-20 or did they also have some differences in the way they interpreted these words by Peter?,(1 Peter 3:18-20 ESV)    Who are the spirits?,485
Did the early Church Fathers have a complete agreement on how to interpret 1 Peter 3:18-20?,Christianity_88,(1 Peter 3:18-20 ESV)    Who are the spirits?,What is the prison?,0
Did the early Church Fathers have a complete agreement on how to interpret 1 Peter 3:18-20?,Christianity_88,What is the prison?,What exactly did Jesus proclaim to them?,0
Could Jesus have extraterrestrial brothers or sisters?,Christianity_89,"According to Sacre Scriptures, Gospel, Catechesis, Catechism and so on, could Jesus have had, or could have, one or more brothers or sisters?","Or, in case, did God send always Jesus, the same son who went on the earth, on these planets?",304
"According to the young-earth perspective, when were races created?",Christianity_90,How come we have so many races on earth if we came from the same parent?,Is it because people changed physically by adapting to various climates?,0
"According to the young-earth perspective, when were races created?",Christianity_90,Is it because people changed physically by adapting to various climates?,Or races were made when different languages were introduced in Genesis 11 vs 6-8?,0
"According to the young-earth perspective, when were races created?",Christianity_90,Or races were made when different languages were introduced in Genesis 11 vs 6-8?,How can I explain the human race diversity given the literal Biblical account?,0
"Was John Smyth, the earliest Baptist, influenced by the Anabaptists?",Christianity_91,"So, my question is: was John Smyth's view of baptism influenced by the Anabaptist movement?",That is:   Do we have any evidence from the writings of Smyth or his close associates that indicate that he had read and agreed with any Anabaptist writings prior to 1609?,0
"Was John Smyth, the earliest Baptist, influenced by the Anabaptists?",Christianity_91,That is:   Do we have any evidence from the writings of Smyth or his close associates that indicate that he had read and agreed with any Anabaptist writings prior to 1609?,What is the scholarly consensus on the source of Smyth's views?,0
"Was John Smyth, the earliest Baptist, influenced by the Anabaptists?",Christianity_91,What is the scholarly consensus on the source of Smyth's views?,Was Anabaptism a factor?,0
"Was John Smyth, the earliest Baptist, influenced by the Anabaptists?",Christianity_91,Was Anabaptism a factor?,Or was his shift in views on paedobaptism truly a result of independent Bible study?,0
"Who found whom? After Jesus FINDS Philip, why does Philip tell Nathanael ""We have FOUND the One...""?",Christianity_93,"45 Philip found Nathanael and said to him, “We have   found him of whom Moses in the Law and also the prophets wrote, Jesus   of Nazareth, the son of Joseph.”   So, who found whom?","And who is ""We""?",0
How to compare Christian pastor credentials?,Christianity_94,"How then, is one able to assess the academic qualifications of ordained clergy across denominations?","In other words, is there a resource that would assist one in gauging the stringency of the qualification process before one is allowed to serve as preist, minister, or pastor?",0
