title,source,q1,q2,sep
Third-party citizen married to EU citizen to work in the UK,Expat_7,The question is: can we move there and I start working before her in the given scenario?,"If so, would it be straight-forward enough as going there and file for an ID/residence or are there other bureaucracies to look after before landing in London?",0
Blue Card France,Expat_8,How long can they stay in the France looking for a job before they have to leave?,What are the requirements on the new job?,0
Expat needing to know about renouncing US citizenship,Expat_9,"Ok, If you renounce your US citizenship and are stateless, can you work?",Can you register for residency?,0
Expat needing to know about renouncing US citizenship,Expat_9,Can you register for residency?,Can anyone help me with this?,127
Tax as an Italian resident,Expat_10,Is this correct information?,Do I need to keep the residency until I get my Italian passport?,0
Tax as an Italian resident,Expat_10,Do I need to keep the residency until I get my Italian passport?,Also can I apply for the AIRE online from the US?,0
UK comparability diploma for IT council,Expat_11,Does anyone have more accurate information on which council is appropriate to contact and ask for more details?,Is that one the right council?,53
Do I need a tenancy agreement in my name for T2 Dependant visa [UK]?,Expat_12,What address should I give?,Should I give my current UK address?,0
Do I need a tenancy agreement in my name for T2 Dependant visa [UK]?,Expat_12,Should I give my current UK address?,What are my options?,45
travelling out of country on L1B while TN i-129 petition is submitted,Expat_13,Is there a simple way to withdraw the TN i-129 petition?,"If I go out of the country and come back, can I get in with my L1B (L1B expiry is next year)?",0
travelling out of country on L1B while TN i-129 petition is submitted,Expat_13,"If I go out of the country and come back, can I get in with my L1B (L1B expiry is next year)?",Will traveling and re-entering the country get the TN i-129 petition abandoned?,0
EU Blue card application from Italy,Expat_14,"My question is if I were to apply for the EU blue card,   Do I need to get my Uni certificate evaluated?","Does this mean if I have already worked 2 years for the same employer and apply for the Blue card, I must work another 18 months before I can relocate to another country?",211
EU Blue card application from Italy,Expat_14,"Does this mean if I have already worked 2 years for the same employer and apply for the Blue card, I must work another 18 months before I can relocate to another country?",Or does it imply 18 months from the start of my contract?,0
EU Blue card application from Italy,Expat_14,Or does it imply 18 months from the start of my contract?,Can anyone help me understand this?,0
"Get Permanent Residence now, or wait until March 2019?",Expat_15,Should I apply for my PR now or wait until end of March 2019 to apply for settled status?,"If I wait until March and apply for settled status, should I still need to be member of EEA family to get the status?",168
Multiple Non-Immigrant B visas for Thailand?,Expat_16,Is is possible to have multiple non-Immigrant category B visas for employment for Thailand at the same time?,"However a week later, I got another better offer from another company in Thailand itself?",164
Multiple Non-Immigrant B visas for Thailand?,Expat_16,"However a week later, I got another better offer from another company in Thailand itself?",Can I use the existing visa to go work for the other company?,0
Multiple Non-Immigrant B visas for Thailand?,Expat_16,Can I use the existing visa to go work for the other company?,Or apply for another visa of the same category while there is an existing valid one in the same passport?,0
Strategies for UK migration as a software dev?,Expat_17,Goal: What would be the easiest way to migrate to the UK and live there permanently?,I'm unsure what would happen at the end of the 2 years?,454
can I drive a uk registered car with my greek driving license?,Expat_18,If I buy a second hand car can I drive it using my greek driving license?,Does the license need revision or accepted as is?,0
can I drive a uk registered car with my greek driving license?,Expat_18,Does the license need revision or accepted as is?,How is regulated the insurance policy regarding foreign citizens/ driving licenses?,0
Eligible for German Blue Card. University is H+ on Anabin. However B.A.LL.B is not,Expat_19,Do I need to write to ZAB?,Any suggestions on a workaround?,0
Quitting job under Tier 2 UK and entering as tourist,Expat_20,"If I handed in my resignation for January, can I still stay in the UK?","Will I be able to enter back into the UK in between our trips as a US tourist, even if my work visa gets cancelled?",65
"As of Nov 2018, is it possible to take a week vacation/break between jobs while on H1B (after receiving the receipt number)?",Expat_21,"Once I receive the receipt number of transfer, Can I take one week break and join the new company?",Will that cause any issues in future?,0
"Freelance Net ""Salary"" vs Permanent Employee Net Salary - a Tough Decision",Expat_22,"What would be an estimate of a year of net income I would get after all tax deductions, pensions, health insurance, if I take the Freelance Project?",What is the formula to understand the difference between the two projects?,0
How can I extend my French working holiday visa?,Expat_23,Has anyone successfully done so?,"If yes, where did you go to extend your visa?",0
Registering French nationality - name change and where to get help,Expat_24,"Is the French government likely to recognise my deed poll, given changing one's name requires (I believe) a court order in France?","Can anyone confirm the only real hurdle to getting the passport is obtaining a CNF as described in this link, which is simply a case of assembling documents and delivering them in person?",0
Registering French nationality - name change and where to get help,Expat_24,"Can anyone confirm the only real hurdle to getting the passport is obtaining a CNF as described in this link, which is simply a case of assembling documents and delivering them in person?",Will I need to attend any language/culture tests?,0
Registering French nationality - name change and where to get help,Expat_24,Will I need to attend any language/culture tests?,Would it be sensible to employ a solicitor to help?,0
Chain Italian citizenship,Expat_25,Some quite theoretical and not related to our situation:  1: is there any probation on Italian citizenship?,That is she could get it today and then marry me the day after and start the counter?,0
Chain Italian citizenship,Expat_25,That is she could get it today and then marry me the day after and start the counter?,2: what if we are married before she becomes Italian?,0
Chain Italian citizenship,Expat_25,2: what if we are married before she becomes Italian?,Does the time I am married to her count or only the time I was married to an Italian?,0
Chain Italian citizenship,Expat_25,Does the time I am married to her count or only the time I was married to an Italian?,But if there was a kid involved how does this affect the counter?,46
Chain Italian citizenship,Expat_25,But if there was a kid involved how does this affect the counter?,It goes down to 18 months right away or it assumes I only have to wait 18 months or a proportional time off the wait is taken?,47
Chain Italian citizenship,Expat_25,It goes down to 18 months right away or it assumes I only have to wait 18 months or a proportional time off the wait is taken?,4: are there any language requirements?,0
Chain Italian citizenship,Expat_25,4: are there any language requirements?,Does this affect things?,259
Chain Italian citizenship,Expat_25,Does this affect things?,Any dependency on whether her mother was born before or after this?,0
Moving to an EEA country as an EEA citizen,Expat_26,"If no other immigration route exists (EU national on another EU state, for example): What happens after this period?",And what if some EEA national stays 89 days and then another 89 during the same year?,0
Moving to an EEA country as an EEA citizen,Expat_26,And what if some EEA national stays 89 days and then another 89 during the same year?,"Under what conditions, can they deny foreign EEA citizens to stay longer?",0
What is a valid document for EEA residence card?,Expat_27,Does that mean we'll stay 6 months without our passports?,What else can we use as a valid document for her if they'll keep it for 6 months?,103
"What kind of jobs do people usually take during a Working Holiday, if you can't work for one employer for more than 3 months?",Expat_28,So what kind of jobs do people usually take during working holidays?,Is it limited to unskilled stuff like berry picking?,0
"What kind of jobs do people usually take during a Working Holiday, if you can't work for one employer for more than 3 months?",Expat_28,Is it limited to unskilled stuff like berry picking?,Is it mostly a 'holiday' rather than 'work'?,0
"What kind of jobs do people usually take during a Working Holiday, if you can't work for one employer for more than 3 months?",Expat_28,Is it mostly a 'holiday' rather than 'work'?,Or do people simply ignore the 3 months limit and get permanent jobs all the time?,0
Doing a job in the UK,Expat_29,What is the first thing I need to do now?,Am I correct?,124
How do the different Southeast Asian countries compare in terms of ease of long-term staying and legally working?,Expat_30,How do the different Southeast Asian countries compare in terms of ease of long-term staying and legally working?,How do these countries compare for that?,758
How do the different Southeast Asian countries compare in terms of ease of long-term staying and legally working?,Expat_30,How do these countries compare for that?,Any that really stand out?,0
Iranian student with Hungarian residency permit staying in Italy for more than 90 days,Expat_31,Do you think I can leave Italy after 90 days and then come back again?,Or is there any way to do this without asking for an Italian residency permit?,0
"US tax form 1040NR asks me to enter my ""Occupation in the United States""",Expat_32,"So a question here for anybody who may know: What is my ""occupation in the united states""??","Could it possibly be the same thing as my occupation, which is not in the United States?",0
"US tax form 1040NR asks me to enter my ""Occupation in the United States""",Expat_32,"Could it possibly be the same thing as my occupation, which is not in the United States?","Or maybe is my occupation just ""investor""?",0
"US tax form 1040NR asks me to enter my ""Occupation in the United States""",Expat_32,"Or maybe is my occupation just ""investor""?","or Unemployed, or none?",0
Tax treaty USA-Italy: scholar/teacher (art. 20) tax exemptions and implications,Expat_33,20 is protected by saving clause in such treaty?,"For this same year, which form(s) of 1040 series will I have to file?",0
Citizenship with Adoption,Expat_34,"If a child was born in China by two Chinese parents but was adopted by two American parents, what citizenship does that child have?",Does he/she retain the chinese citizenship?,0
Citizenship with Adoption,Expat_34,Does he/she retain the chinese citizenship?,Is it possible by adoption to have a duel citizenship of China and United States?,0
Lost id/Aufenthaltstitel in Germany,Expat_35,What are the next steps I should do?,Am I stuck between a rock and a hard place?,266
Extension of Schengen Visa due to marriage with a German citizen,Expat_36,Is it possible to apply for extension of duration of stay to maximum possible 90 days (or beyond that)?,How can this be done legally while waiting for the processing of marriage documents which will surely take time?,0
Bringing to the UK the daughter of a British Citizen,Expat_37,"Since the ILR expires if the person continuously lives in outside of UK,  1. what would be the best option to get my daughter to UK to study her A-levels?",Shall i able to renew her previous ILR some how?,2
Bringing to the UK the daughter of a British Citizen,Expat_37,Shall i able to renew her previous ILR some how?,3. or should i use the option of 'spouse or family of settled person' to get fresh visa?,0
Bringing to the UK the daughter of a British Citizen,Expat_37,3. or should i use the option of 'spouse or family of settled person' to get fresh visa?,What would be the minimum income i need to show to the home office?,2
Bringing to the UK the daughter of a British Citizen,Expat_37,What would be the minimum income i need to show to the home office?,5. or is getting her to EU first and then to UK?,0
My Girlfriend got a Fulbright to Konstanze Germany how can I go with her?,Expat_38,Would it be a bad idea for me to just go with a tourist visa and then apply for a work or study visa?,Would taking classes in German in Konstanze constitute studying in Germany?,48
My Girlfriend got a Fulbright to Konstanze Germany how can I go with her?,Expat_38,Would taking classes in German in Konstanze constitute studying in Germany?,How hard is it to get a study visa?,0
My Girlfriend got a Fulbright to Konstanze Germany how can I go with her?,Expat_38,How hard is it to get a study visa?,"If my girlfriend is able to pay most of our living expenses, what would I need to qualify for a work visa?",0
My Girlfriend got a Fulbright to Konstanze Germany how can I go with her?,Expat_38,"If my girlfriend is able to pay most of our living expenses, what would I need to qualify for a work visa?",What sort of employment could I look for before or after I arrive in Konstanze?,0
My Girlfriend got a Fulbright to Konstanze Germany how can I go with her?,Expat_38,What sort of employment could I look for before or after I arrive in Konstanze?,How hard is it to get a work visa?,0
My Girlfriend got a Fulbright to Konstanze Germany how can I go with her?,Expat_38,How hard is it to get a work visa?,Will I need to buy health insurance while I am living in Germany?,0
Work Visa for Canada,Expat_39,"I am from India, I have got a job offer from Canada and they asked me to give all my details by mail as in  Name(s): Date of Birth: Gender: Nationality: Permanent Address: Marital Status: Mobile number:  Telephone Number: Languages Spoken: Guardian (Parent): Passport Number:  And they said they will give a work visa, so should I provide those details to them?",What should I do?,46
Can my family apply for another UK visitor visa before their current one has not expired?,Expat_40,I was wondering if they can apply for another visa before their current visa expires on the grounds that they never used their current visa?,Has anyone done this before?,0
Can my family apply for another UK visitor visa before their current one has not expired?,Expat_40,Has anyone done this before?,What are the chances of their application being successful?,0
B1/B2 to green card,Expat_41,"If someone with a B1/B2 valid for 10 years applies for green card, does the visa becomes invalid?","Do they give work when you first apply, or are there other things that happen before the green card is received?",0
Green card processing time,Expat_42,"If a person applied for a green card from a certain visa type, but he had family members who have long term B1/B2 visa now staying outside US, Are they permitted to come, not questioned on the border?",Because there’s another family member staying inside US applying for Green Card?,0
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,"Here's what I'm concerned about:   Is propiska the same thing as residency, according to the law?","Will it ""override"" the fact that my permanent residence is actually in the US?",0
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,"Will it ""override"" the fact that my permanent residence is actually in the US?",Does the voyenkomat know about me if I'm propisan to a flat but haven't lived in the country since the 90's?,116
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,Does the voyenkomat know about me if I'm propisan to a flat but haven't lived in the country since the 90's?,"If there was a conscription notice sent to this address but I never signed for it, could I still be considered ""drafted"" by some definition of the word (and thus barred from leaving)?",0
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,"If there was a conscription notice sent to this address but I never signed for it, could I still be considered ""drafted"" by some definition of the word (and thus barred from leaving)?",Have there been any instances of males older than 27 being conscripted?,0
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,Have there been any instances of males older than 27 being conscripted?,"If I'm staying for less than 90 days, do I have to register as a dual citizen (as per the 2014 law)?",52
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,"If I'm staying for less than 90 days, do I have to register as a dual citizen (as per the 2014 law)?","Could there be any complications if I leave the country directly into the Schengen zone or Japan (by train/ferry) using my US passport, as opposed to flying directly back to the US?",0
Male US/Russian dual citizen returning to Russia at 28. Possible risks?,Expat_43,"Could there be any complications if I leave the country directly into the Schengen zone or Japan (by train/ferry) using my US passport, as opposed to flying directly back to the US?",Are there any other risks I should be aware of?,0
Is there a 180 days rule on UK ICT Short Term (1 year) Visa?,Expat_44,90 days) Visa is valid until 22nd August 2017   Is is valid to travel?,and what else needs to be produced?,0
how to import and register a car in Hungary?,Expat_45,"so, can anyone tell me the import, insurance and registration process in Hungary?",is it possible to register a car in Hungary as a non-resident?,0
Chinese passport,Expat_46,"My question is: What happens if the ex-Chinese citizen, after 2-3 years, decides that actually having a Chinese passport was better (for example: he/she wants to move back to China)?",Does anybody know if Chinese government would allow this person to give up the new passport and apply again for a Chinese one?,0
"Can the French ""long stay"" visa be used to acquire permanent residency in France?",Expat_47,"In theory, does this visa allow one to acquire French permanent residency after 5 years?","In theory, Council Directive 2003/109/EC would force France to give out permanent residency to such people, but perhaps there's an exception for people who merely have a ""visa"" rather than a ""residency permit""?",0
Daughter wants German citizenship but wants to keep her naturalised Australian citizenship,Expat_48,"If she first revoked her US citizenship, then applied for German citizenship, how can she keep the Australian one?","I know it is possible but my question is, how?",0
Daughter wants German citizenship but wants to keep her naturalised Australian citizenship,Expat_48,"I know it is possible but my question is, how?","Or, can she, through her father, somehow obtain permanent residency there, and would that be easier?",104
Trying to figure out my tax residency,Expat_49,Is there a requirement to be a tax resident somewhere?,Should it be the US in my case?,0
Trying to figure out my tax residency,Expat_49,Should it be the US in my case?,How do I communicate such a thing to the IRS in my tax return if that is the case?,0
Ireland - Temporary consulting work needs visa?,Expat_50,"Would I legally be able to do consulting work on location in Ireland during a short stay (visa-free under 3 months), billed to my home country as a foreign service provider (rather than being paid a salary)?",Or does that require a working visa?,0
Paying of Tax at the Airport in Australia?,Expat_51,"I understand from the Australia government webpage, we are allow to bring in AUS[tex]1200+ and did not get a GST/Tax refund in Singapore, do I still need to pay for tax at Australia airport?","If I have to pay for tax but have either loss or throw the receipt away for the laptop, how will customs charge me for the tax?",0
Paying of Tax at the Airport in Australia?,Expat_51,"If I have to pay for tax but have either loss or throw the receipt away for the laptop, how will customs charge me for the tax?",How is it able for custom to tell if the item is new?,0
Paying of Tax at the Airport in Australia?,Expat_51,How is it able for custom to tell if the item is new?,Or if the items has been brought for a year or not?,0
Paying of Tax at the Airport in Australia?,Expat_51,Or if the items has been brought for a year or not?,"If I received gifts from my friends at the airport in Singapore and bring it back to Australia, do I need to pay tax?",0
Paying of Tax at the Airport in Australia?,Expat_51,"If I received gifts from my friends at the airport in Singapore and bring it back to Australia, do I need to pay tax?","But what if the gifts were given a year ago, do I need to pay tax?",0
How much time Dubai Ministry will take to give a employment visa?,Expat_52,"I hope they apply my visa on 25 Feb 2016, Now it's almost 6 weeks and they're saying they are still waiting for my visa so I want to know how much time Dubai Ministry will take to give a employment visa?",More on Can I check my visa status online based on my passport number?,0
Possessing two residence IDs of different Schengen countries,Expat_53,As I will be living 4 nights in Netherlands and the weekend 3 nights in Belgium is it ok or legal to possess two residence IDs?,One as a dependent in Belgium and one as a student in Netherlands?,0
"Tax treaty benefits: when was my ""date of arrival""?",Expat_54,Does that previous visit on a B1 visa affect the tax treaty benefits at all?,"Specifically, what is the interpretation of ""from the date of his arrival""?",0
"Tax treaty benefits: when was my ""date of arrival""?",Expat_54,"Specifically, what is the interpretation of ""from the date of his arrival""?","Should it be counted from 6 years ago (meaning that the period of 2 years have long expired), or should it be counted from when I arrived on the J1 visa?",0
Where am I resident for tax purposes?,Expat_55,So my question is: Where am I resident for tax purposes?,I left Australia 7 years ago on an L1A but changed to G4 a year later in March 2010  Am I in no man's land for tax residency?,0
Healthcare in Portugal for Germans,Expat_56,So I have three related questions:  How is health insurance in Lisbon?,"Could we expect that he gets quality treatment and all the necessary checkups (blood tests, flow cytometry, ultrasounds)?",0
Healthcare in Portugal for Germans,Expat_56,"Could we expect that he gets quality treatment and all the necessary checkups (blood tests, flow cytometry, ultrasounds)?","Would it suffice to get the Portuguese state health insurance, or would we need a private one?",0
How long does it take to get a Canadian student visa?,Expat_57,How long would it take for me to receive the visa if I apply today?,"Also, how much earlier than the intake time (September) would I be able to enter the country?",0
IELTS score | secondary applicant & primary applicant,Expat_58,In this case are we eligible for FSW with me as primary applicant and my husband will be secondary applicant?,Or else should he write the exam to get min score of 6 in each section?,0
Driver's license stolen... from a state I no longer have any connection to... how do I get a replacement?,Expat_60,How do I get a replacement?,Can I still do this even though I switched license from MA to TX?,109
Can my partner get a working visa for Spain to accompany me while I undertake a PhD?,Expat_61,Is it likely that we would be able to get a visa for my partner which would enable her to work while in Spain?,"If so, which visa category should we apply for?",0
Working from Ireland for a company in the Netherlands - Tax Bracket,Expat_62,Can someone tell me what can I do in this situation?,Is there another way to get my tax bracket normalized to a fairer tariff?,0
Leaving Australia on a foreign passport,Expat_63,Can I leave on my USA passport?,Does anybody have first-hand knowledge of what happens?,753
Leaving Australia on a foreign passport,Expat_63,Does anybody have first-hand knowledge of what happens?,Would I actually be denied the ability to return to my country?,0
Leaving Australia on a foreign passport,Expat_63,Would I actually be denied the ability to return to my country?,Would I just become a prisoner in Australia destined to live in the airport or at the US embassy?,0
Leaving Australia on a foreign passport,Expat_63,Would I just become a prisoner in Australia destined to live in the airport or at the US embassy?,"I've read all the 'should-s' and 'must-s', but what actually happens if you do try to leave on your foreign passport?",0
Tax treaty exemption for scholarship as a researcher: can I choose the tax treaty article?,Expat_64,Can one choose to claim an exemption under (1) even if (3) is applicable?,"Follow-up question: can one choose not to claim tax-treaty benefits for some income (for example, said scholarship) in order to avoid losing later benefits for teacher remuneration?",131
Looking at 3rd Citizenship,Expat_65,"If I apply for Namibian Citizenship will I have to give up my SA or UK Citizenship as both countries allow ""Dual Citizenship"" - I cannot find evidence of ""Multiple Citizenship"" anywhere ?","Or do I just let Home Affairs know that I am applying for Namibian Citizenship, get the letter and Bob's your aunty ?",0
Move to UK before Brexit referendum. Do I need to wait?,Expat_66,Is it a good idea to look for a job now?,"I mean, in the event of a real Brexit, would I be in a better situation being there before the referendum outcome?",0
"Validity after leaving France of the ""Carte de séjour membre de famille d'un citoyen de l'union""",Expat_67,Is the carte de séjour still valid?,"If not, when did it lose its validity, and why?",0
Is there any rule or standard for the names that should go on the mailbox and door bell?,Expat_68,Is there any rules/laws regarding the naming system on these tags?,If I do abbreviate will be postal worker allowed to place in mail for me?,0
Is there any rule or standard for the names that should go on the mailbox and door bell?,Expat_68,If I do abbreviate will be postal worker allowed to place in mail for me?,If me and my wife have the same surnames[last names] should I place the standard abbreviated name and family name separated by slashes to denote different persons regardless of the family name being the same?,0
Applying for US student visa (F1) from a foreign country,Expat_69,Can I apply for the US visa (F1) from Canada?,Can I complete all the formalities while I am here and enter US directly from Canada?,0
Applying for US student visa (F1) from a foreign country,Expat_69,Can I complete all the formalities while I am here and enter US directly from Canada?,Or should I go back to India and apply for the US visa?,0
How long I can legally stay in US with H4?,Expat_70,Is it possible to extend my stay beyond September 2016?,"If yes, what is the procedure?",0
Apply for H1B from F1 without OPT,Expat_71,"And also how it is going to impact my OPT, suppose if I go back to school in the future to pursue my PhD?","And also how it is going to impact my OPT, suppose if I go back to school in the future to pursue my PhD?",145
"Does a visa run in Taiwan really involve applying for a new visa every time, or just relying on visa-exempt passport entry?",Expat_72,"My questions are:  1) Do I have to actually go through a visa application process to do this, or is what I would really by doing just leaving the country and coming back, relying on my passport for 90 day visa-exempt entry?","2) Do I have to go to HK or can I go to any country, like Japan?",0
"Does a visa run in Taiwan really involve applying for a new visa every time, or just relying on visa-exempt passport entry?",Expat_72,"2) Do I have to go to HK or can I go to any country, like Japan?","Would China even count, since they don't like to admit Taiwan is a separate country?",0
Can I use previous Visa(still Valid) before new visa becomes valid?,Expat_73,"If I set my starting (Validation) date of Tier 5 from 25th June, is it possible to come back London after Easter holiday (3rd April) to finish my course with Tier 4 visa as it is valid until 1st Nov?",Is it possible?,284
Mailing an envelope overseas with return postage,Expat_74,Can I just include an envelope with French postage on it?,Will the US mail service mail a parcel paid for with French postage?,0
Mailing an envelope overseas with return postage,Expat_74,Will the US mail service mail a parcel paid for with French postage?,And if so how does that work?,0
Can I obtain some land on lease from the government to do some livestock farming?,Expat_75,"After finishing my diploma, Can I obtain some land on lease from the government to do some livestock farming?",Which province would be best for farming and agriculture?,0
UK Immigration - is it legal to work remotely from UK as a dependent of a spouse holding a Student Visa,Expat_76,My question is this: will I be allowed to work remotely for a US company receiving payment to a US only bank account while living in the UK as a dependant of a US exchange student?,"If not, then under what visa/immigration-policy would this be doable?",0
Renewing J-1 and J-2 visas,Expat_77,"I'm wondering if it would be reasonable not to renew my visa, and I'm asking myself a couple of questions which are not in the J1 faq:   Does a new visa voids the old one?",What would be the dates range in which I could go renew my visa?,0
Renewing J-1 and J-2 visas,Expat_77,What would be the dates range in which I could go renew my visa?,"For instance, would 3 months after (or before) the beginning of my new contract be too late (or too early)?",0
Renewing J-1 and J-2 visas,Expat_77,"For instance, would 3 months after (or before) the beginning of my new contract be too late (or too early)?",Can I renew my visa without renewing the visa of my wife and my children?,0
Renewing J-1 and J-2 visas,Expat_77,Can I renew my visa without renewing the visa of my wife and my children?,Can my wife renew her visa if I don't renew mine?,0
Renewing J-1 and J-2 visas,Expat_77,Can my wife renew her visa if I don't renew mine?,"Can I renew the visa of my children if I'm in France, but they didn't left the US?",0
Renewing J-1 and J-2 visas,Expat_77,"Can I renew the visa of my children if I'm in France, but they didn't left the US?","If we don't renew our visa, would that make more complicated to get new visas next year, for instance in 2018, in the case of another extension of my contract?",0
Renewing J-1 and J-2 visas,Expat_77,"If we don't renew our visa, would that make more complicated to get new visas next year, for instance in 2018, in the case of another extension of my contract?",How long would it take for us to make the appropriate arrangement so that we could take an appointment at Paris'US embassy?,54
How does the medical system in British Columbia work for insured residents?,Expat_78,"Assuming a person moves to work in British Columbia and is insured by the local single payer healthcare system, how are they supposed to access general practitioners and specialist doctors?",Is there an official website that explains the process step by step?,0
Mid-to-long-term storage options in Israel,Expat_79,"Are there storage spaces I could rent at a reasonably low price, on a weekly or monthly basis, for a period of time which may be as long as several months - and to which I could have my stuff shipped?","If there are - do you have to have someone there to accept the shipped items, or can they just put them in storage for you?",0
Can I keep my family in Germany and work in Finland on a work permit?,Expat_80,Is it possible to keep the family in Germany and work in Finland?,Will the Rathaus allow keeping the family in Germany until then?,0
"Living in Sweden while working in Norway, Norwegian government won't give me an S1 form",Expat_81,How and where will my wife get health care?,What should I do?,338
France: New visa application when you are already in the country with another visa,Expat_82,"I would like to have some information on 2 points:   Is it possible to apply for a completely new visa while still in France, for a job contract with another French company?","Similar to question asked in the link here (which was very helpful and clear btw, thank you @Gala), is there a timeframe to leave the country if I quit the company that brought me to France?",317
Expatriate leaving France: Who should I notify (taxes/etc) that I'm moving out?,Expat_83,"So ideally everything needs to be done online or by letter (and French companies love letters, right?",Who should I inform legally that I left the country?,5
Expatriate leaving France: Who should I notify (taxes/etc) that I'm moving out?,Expat_83,Who should I inform legally that I left the country?,Taxes department (impôts)?,0
Expatriate leaving France: Who should I notify (taxes/etc) that I'm moving out?,Expat_83,Taxes department (impôts)?,How?,0
Is it mandatory that I carry my work permit every time I re-enter Canada?,Expat_84,Is it mandatory that I take this document for re-entry to Canada?,What happens if I don't?,0
Spanish visa for non-EU unmarried partners,Expat_85,Being that we will be driving/on the ferry is this likely to be an issue?,Am I correct in saying that we can apply for this once in Spain and once granted this will effectively grant residency beyond the original 90 days?,97
Spanish visa for non-EU unmarried partners,Expat_85,Am I correct in saying that we can apply for this once in Spain and once granted this will effectively grant residency beyond the original 90 days?,Is this sort of proof sufficient in Spain?,357
Spanish visa for non-EU unmarried partners,Expat_85,Is this sort of proof sufficient in Spain?,"If so, would every document need to be a certified translation even though the content is not relevant?",0
3-year UK Tier 2 extension on passport that will expire in a year,Expat_86,Does anyone know if this will affect the application?,"Is there a faster way to get the passports, from a South African company?",47
"What is the cheapest EU passport that can be ""bought""?",Expat_87,Many (most?,What would be the cheapest way for a non-EU citizen to obtain an EU passport?,249
Status on a carte de séjour application,Expat_88,Who is responsible for the carte de séjour application processing?,Is it the préfecture or some government department in France?,0
Am I allowed to quit without notice during my pregnancy in Germany?,Expat_89,"I heard there is a possibility of renegotiating the contract, but if my employers decide to be difficult, what kind of penalties (if any) can I face if I got a job offer and gave a more reasonable 1-month notice to my current employer instead and go my merry way?",Does anyone know what would be the case here?,307
B1/B2 visa change status to F1 (2018). Need advice?,Expat_90,What points do I need to write and make the USCIS believe that I just stay to study and will go back to my country after I finish my class?,Do I need to fill and apply at the same time with the status change form?,198
B1/B2 visa change status to F1 (2018). Need advice?,Expat_90,Do I need to fill and apply at the same time with the status change form?,"After I fill the extension status form (the second I-539 form), will I get another 6 months to wait for my change of status (F1)?",0
B1/B2 visa change status to F1 (2018). Need advice?,Expat_90,"After I fill the extension status form (the second I-539 form), will I get another 6 months to wait for my change of status (F1)?",And when will these 6 months start?,0
What obligations are incurred by registering as a German resident?,Expat_91,What are my obligations should I register as a resident in Germany?,The main one is likely to be dealing with tax; are there others?,0
What visa should freelancer without education apply if employer wants him to temporary work in USA?,Expat_92,What kind of visa should I apply for and what documents will I need?,Does he need to send me an invitation?,0
What visa should freelancer without education apply if employer wants him to temporary work in USA?,Expat_92,Does he need to send me an invitation?,Do I need to prove that we are in a relation with my girlfriend?,0
"UK long-term (2 or 5 yr) visitor visa chances for business, 6months visa already there",Expat_94,"My question is, how are the chances of getting it approved..??","Can someone please share experiences related to this, which might help me decide whether to take a chance or not..?",0
