Index,title,body
10,"Maltese gasps after eating fastly, is that something to worry ?","After my dog eats , a thing that it does very fast, he almost all start to loose breath and do something like gasping. When it calms down , this stops , but i find myself very worried about it.   Is this really a thing to worry ? I heard that this can be a issue with small dogs, but is there a way to deal with that ? "
11,Cat pees outside of litter box while being treated for urinary tract infection,Our cat box sits on top of a big shallow tray. We out that there to catch loose litter.   Our 12 year old cat now pees outside of the box (on the tray) 95% of the time. The other times she’ll pee in the box. I would have to clean up the tray with paper towels which is pretty annoying  She’s taking antibiotics to treat a UTI.   Is there anything we can do to encourage peeing in the box?   Should I get a shallower box so that she can easily go in it to pee? The current tray that the box sits on is too shallow to hold litter. Otherwise I would just put litter in the shallow tray bc she pees in the tray anyway.   I’m basically trying to change her behavior...and if I can’t I’m tryout Ng to find a way to make it easier to clean up.  
12,Fleas in washing machine water exhaust hose and fleas in pipes,"[Edit with what actually worked] I found out that the fleas were in the slop sink. Once I scrubbed that daily, my issue was soon a thing of the past. The key for me was to scrub all areas thoroughly where they may be. I used a rough thin green sponge and threw it away after each scrubbing. I got 5 for a buck at the dollar store and they worked great. I didn't have to deal with carpet, so I can't speak to that, except that a beater bar seems to work for others as long as you clean the canister/or throw away the bag after each vacuuming.   [Original post - Spoiler alert: It was not the accordion exhaust tube for the washing machine, it was fleas in the actual slop sink that the tube emptied into.] The water exhaust hose from my washing machine is the accordion type and is harboring fleas. (I only figured this out three days ago.)   I thought I was getting to this end of my flea ordeal, but they kept popping up. It dawned on me that the washing machine exhaust hose had a build in trap (u shaped loop) and so I put some flea killing shampoo,diatomaceous earth, and water in there and got a bunch (30 or so) when I did the next wash.   This is the last place I have them (I think), so I am looking for a way to eliminate them from this hose. For the past 3 days, I've filled it with my flea killing shampoo,diatomaceous earth, and water concoction and closed off the end of the tube with some saran wrap and a rubber band, but I still get a few when I do a wash.   Has anyone else faced this? Any ideas on how to put the final kibosh on these last few remaining fleas? I also one or two creeping up from my slop sink and they keep coming back despite my concoction and best efforts (but only in the ""slop sink"" that I use as an exhaust for my washing machine). Thanks! "
13,Does my Betta fish look Ill?,My Betta has this 20 gallon. I wanted to do a bare bottom with plants. So I added the glass jars. With the (I clean it with a vacuum) gravel and plants. I have 70 aqua clear that I baffled with a soap dish and some bigger rocks from Petco. He has an area with some sand I also clean every month. I use a net to stir it up and get some plant matter out of it. He also has some big dry leaves. I do clean the filter. I have different media I interchange when I should. I do small water changes and every so often a little less than half of a water change like 40%. I also use water conditioner. My PH is usually at a 7. Sometimes 8. I have a heater. Tank stays steady in temp 77-78. I really don't think the tank or water are the problem. He came from Petco.  So he looks better than he did when I got him. He is active and eats. I switch his food up. He has a mirror toy he uses every so often. And a clear plastic ball we put different things in. So he can poke it around. And look at what is inside. I also move the tank decor around every larger change of water. He has a leaf bed. And a log. Some floating plants. We also put pictures on the back of his tank. To give him new stuff to look at. But I'm noticing his fins don't look as great. Especially the top one. The one fin kind of curls now too. Unless he is moving. All his fins have a light white edge. No blood or black or red. Could it be fin rot? Or am I paranoid? 
14,Really large dogs in Scotland; Which breed are they?,"In Edinburgh many people seem to have these massive dogs, they look as big as a fully grown lion (at least to my 4 year old son).  This picture does not do justice to how big this dog was but it really was a large dog. There were others too which were in darker colors but equally big.  Which dog breed is this and is it local to Scotland? Would you please kindly add some links so i can study about them before trying to import one?   "
15,questions about leveling and positioning a 4 foot fish tank,"We are beginners but have ended up buying a fairly large (4 foot) fish tank and have some questions about setting it up.  we are worried about making sure it is level, as a lot of videos say this is very critical and we could get leaks if we don't get it right. the tank has built-in foam on the bottom but seems very thin, and also you can see the gaps between the foam and the cabinet.     Is this normal/will solve itself once there is water in the (200 liter) tank? Or do we need extra foam to be safe? We also noticed that the water doesn't seem completely level when we put about 2cm of water in the tank, so we used a kit from aldi underneath the cabinet that we believe makes it more level. Is doing it like shown in the photo acceptable or is there more to making sure our cabinet is stable?      The other concern is position as we've heard again and again that you don't want direct sunlight on your tank or could end up with algae problems. We're limited in where we can place this size of tank, and have a lot of windows and light in our house. We thought that in the corner although next to a window that has shutters and a glass door that has curtains would be OK, but really want to get it right before filling the tank and making it hard to move anywhere else. will this position be meeting the requirement of ""no direct sunlight"" enough, or are we likely to have problems?   thanks so much in advance for your patience and attention! "
16,Cat suddenly became paralyzed,"I brought my 18 year-old cat to the vet because she was getting a little thin.  She was otherwise just as affectionate, playful and voracious as she had always been. The vet diagnosed her with hyperthyroidism and prescribed 2.5mg of felimazole twice a day.  Approximately a month after starting this treatment, my cat's lower body suddenly became paralyzed and she now completely refuses to eat. I immediately went back to the vet. She said it had nothing to do with the treatment and recommended I euthanize or, if I refused, that I should continue the treatment supplemented with pain-killers.  The official sources I found for this treatment don't list paralysis as a side-effect although I did find pet-owners who had the same experience on related forums.  I first got my cat when I was only 10 and I care very deeply for her. I know she doesn't want to live in pain but I also know she doesn't want to die. She wants to play, chase after strings and climb on my shoulders. I want nothing more than for her to be healthy again.  Should I discontinue the treatment against the vet's recommendation? Is there any way for her to recover? "
17,"In the US what are the requirements for drug manufacturers for pets, to list side effects","A recent question Cat suddenly became paralyzed has a cat with sudden onset paralysis, after starting a new drug.  The companies drug literature does not list this as a side effect, but the OP found that several pet owners had seen paralysis after administering the drug.      although I did find pet-owners who had the same experience on related forums.   User comments suggest that as the side effect is not listed by the manufacture it could not possibly be related 1 &amp; 2      You've done the research and there really isn't any reason to think there's a link between the felimazole and your cat's new symptoms.       I'm referring to the listed side-effects from studies.   What are the actual legal requirements for pet medications?  Does the vet or the manufacture need to report this possible side effect?  "
18,"How can I improve my relationship with my Husky, and it's living situations","I just got a Husky puppy just over week ago, she is now nine weeks old (her name is Nova). She has several bad puppy habits I am attempting to train, and her living situation could be improved but I can't decide on the best plan of action.  Some Background  I have own a few dogs before, but they were all shepherds, easy to train, and easy going dogs. I knew Huskies were independent and energetic before I got one, I just had no idea how independent and energetic they were until experiencing it first hand. I live in the city, but I have an extremely large backyard (roughly .8 acre lot) for the pup, and I take her to the park almost everyday after work. I have done a lot of research on training and handling huskies, and spend 2-3 hours a day on training and playing with her. On top of that I just have her around me while I do things around the house for the remainder of my day.  Her Behavior  note: the positive negatives I chose to teach her first are ""good (girl)"" and ""no""   She is extremely energetic, despite running her at the park, walking, and playing with her she often is not ready to lie around at the house when I get home, or even go to bed. She takes a short nap and is back at it. She bites everything, I have been training her not to bite since the day I got her, but it seems to be having little affect on her. She will stop biting my shoes about 70% of the time when I say ""no"". She has several toys/bones/chewy-bone-snacks but will often only play with them for short bursts before chewing on the leg of the chair or the rug unless I give her direct play attention.  She often bites my hands (and has bitten my nose once to the point of blood) in a playful way when I go to pet her. But I know this is a bad habit, and she can't control how hard she bites when she gets to excited, so I have tried several methods to get her to stop and only lick/nuzzle. this includes:   saying ""no"" firmly and stopping play with her until she pauses to think about it, then resuming when she has quit. whimpering/yelping to make her think I'm hurt. walking away if she plays to rough.   As I expected, for a puppy, she needs pretty much 24 hour supervision accept for when she falls asleep.  Also, I have been trying to off-leash train her, I know it is extremely difficult for huskies so I'm starting early, but she only comes to me during backyard practice on command %30 of the time. She gets quite distracted, and usually won't come unless she is sure I have a treat. This is mostly to help her stay close when she is on-leash when I am walking her and teaching her how to walk next to me.  Her living quarters  Before I start, please don't hit me with negative comments about my ability to take care of this dog as far as living quarters, I'm looking for feasible solutions for a good environment. I work full time, as does my wife, so the dog is in the crate during the day and let out during lunchtime by family. I know this isn't good and contributes to her energy, but she is 9 weeks and I can't just let her roam. all my previous dogs potty trained quickly and used a doggy door, so they were autonomous until I got home to take them for a walk and play.  Like I said we have a large backyard, but each idea I have has setbacks:   Let the dog live in the backyard during the day: I would puppy-proof the yard, replace a couple broken fence pieces, and put chicken wire in the ground along the fence to prevent her from digging out. Also, buy a dog house for shelter from rain, and put a blanket in there for comfort.  negatives: she scratches at our back glass door if I just let her out without going out with her. I feel this also doesn't contribute to her learning how to behave indoor/outdoor and knowing the differences. Get the dog a play-pen indoor they have metal play pens that connect to her cage, I could make room for it on the hardwood floor.  negatives: she will probably go to the bathroom inside, she will probably whine when put in the pen, and may be able to push it around/escape. Also, does not re-enforce or teach good behavior. Build a dog run outside same idea as 1, except I build a fenced in area so she doesn't have the whole yard, and won't scratch the door. Put in a doggie door Install a doggie door through my wall and let her be independent. This is my ultimate goal, I just think it will take a really long time to get there along with training. This would allow her to get a lot of energy out during the day.  negatives: she will chew up my house because bite and chew training are  going poorly, and sometimes tracking mud into the house.   Summary  I know she is a puppy, so some of this stuff just takes time. But what could I be doing better to speed things up, or help our relationship as a whole? Based on my post:  Q: How can I improve my relationship with my puppy husky? How can I improve her reckless behavior? How can I give her a better and more sustainable living environment? "
19,Are cats aware that lilies are toxic?,"I have a few outdoor cats that like to roam freely along the street sometimes. I've just learned that lilies are poisonous to cats and I don't have any in my garden, but there is a lady nearby who grows day lilies in her garden.   Now, I can't ask her to remove them (because she won't, I tried) so I was wondering if there was another way to stop them from going there? I had these cats for years and I've never had problems with lilies before so I was wondering do cats maybe know by instinct that lilies are not good for them? "
20,New puppy devours food impossibly quick,"I rescued a puppy from a local rescue organization recently. The puppy is about 5-8 months old and is a German sheppard doberman mix. I feed him roughly 3 cups of dog food a day broken into 3 meals (breakfast, lunch, and dinner). Breakfast and lunch is a rounded scoop with dinner being a level scoop.   As soon as I put the food down my puppy devours it within &lt;8 seconds. This seems absurdly fast to me but he also does not appear to get sick or have a problem holding it down. He seems to always be hungry but I'm told that is normal.   Is this normal for a puppy to eat so quickly?  Or is this a result of not being fed properly/normally until he was rescued?   "
21,Chronic low-level cyanide poisoning in dogs,"We're trying to diagnose a recurring limp in my 6mo puppy. Been to the vet a few times, x-rays, etc.  But I had a outside thought. He's been eating the apples that fall in the front yard, and I just learned that he shouldn't eat the seeds due to the cyanide. He's been doing it probably for the last 3 months.  So we've dealt with that, but I'm curious if anyone has experience with consistent low-level cyanide poisoning, in a dog or any other animal. Can you be specific about the symptoms? If motor control was effected, was it widespread or at least symmetric, or was it limited e.g. to a specific limb? Did it come and go, or was it persistent? Did the animal recover eventually after removing the cyanide exposure?  Basically, I can find general lists of symptoms, but I'm interested in how it played out in specific cases. "
22,Nitrite 5 ppm why are my fish still alive,"I have a new tank which I didn't cycle before adding fish (didn't know about it).  However since then I have read about cycling and have purchased a fresh water test kit. I tested my water and got the following:   Ammonia 0 Nitrite 5 ppm (this is the highest lvl my color chart has) Nitrate 0   Its been like that for a week despite 30% water changes every two days.  Everything I have read on internet forums say my fish should be dead. However they seem fine. They are not gasping for breath at the top of my tank like would be expected for nitrite poisoning.  I have 6 tetras and a bristlenose pleco in a 60 litre tank.  Has nitrite toxicity to fish been overstated? Why are my fish still alive?  Update Its been two weeks now, Nitrites are still at 5 ppm, I have upped the water changes to 50% every day, with no effects on the Nitrite readings. I still haven't lost any fish. My guess is that the nitrites are actually well over 5 ppm so the 50% water changes are not enough to bring it below 5 ppm. I'm starting to see Nitrates in the tank so the cycle is progressing.  Updates 2 Its been three weeks and the nitrites have now gone to zero. I havn't had lost any fish, or seen any signs of nitrite poisoning.  "
23,15 month Dashound overly demanding for walks,My Dashound 15 months will not play with her toys she just constantly watching me starring all she wants is to go for walks I walk her 3 X a day if I'm not quite ready by her evening time to work she starts tearing up her pillow cause she mad I'm not ready at her time I walk her in the evening around 7:00pm and she starts bothering me at 5:00 that's too early it's too hot what the world can I do she's also very hyper she wants all my attention allay long I don't have time to play all day I have things to do she's gotten worse !!! My goodness it has even started effecting me mentally I'm a nervous reck what is wrong with Her? I give her bones to chew and she only wants the ones she can chew up in 30 minutes sorry there very expensive to buy for her to go thru that fast I've even bought the bigger harder ones she doesn't even want them all she wants is go out for walks all day if she got her way should I just stop walking her for a couple of days ??? I'm at my withs end about to get rid of her had her since 9 weeks old please help me I'm desperate   Thank You Wanda 
24,What are reasons for the nitrit/NO2 peak during aquarium installation/start phase?,After installing an aquarium with   a new filter without bacteria in the media new/washed gravel plants which don't have sufficient roots yet (to absorb nitrate/NO3&lt;ref>citation needed for the fact that plants absorb nitrate with roots&lt;/ref>)   the nitrit peak occurs. Which one(s) of these conditions (and possible others) cause the nitrit/NO2 peak? Which one(s) have more or less influence?  I want to evaulate the possibility to install an undergravel filter in a running aqaurium where I'd have to move the gravel and replant plants step by step. I have a 60 l freshwater aquarium. 
25,Reverse a debeaked hen?,I have just purchased two young hens to add to my free range flock of 5. Unfortunately they were debeaked. How do I reverse that?  Trim the lower beak until it is shorter than the top? Best way to do that?? 
26,In what ways are dogs affected by alcohol?,"Disclaimer1: I have no intention of actually ever feeding mine or any other dog with alcohol or other harmful substances.  Everybody seems to know that alcohol is bad for pets. But just how bad?  When searching the internet the only things I can find are:   Websites that tell me alcohol is bad for dogs/cats, well thank you but it is clear that alcohol is a toxin   Websites that tell me how to diagnose alcohol poisoning in dogs, very useful but not quite what I am looking to find   A yahoo answers question dating back to 2009 giving some figures and pseudonumbers but nothing to back these things up   All of the things mentioned above do have the same problem: They give great advice, etc. But all the amounts, numbers and mentions of alcohol are in relative sizes (e.g. much, little, high, low). The problem of these relative sizes is that they are not of any use without any contextual information they relate to.  Q: Is there any hard-data on how much alcohol affects a dog in what way?  Googling for most common dog results in the Labrador Retriever, thus we will assume this specific breed for this question2.  1Because I feel it necessary to make this fact clear 2It makes sense that these numbers will be subsequently different for a Chihuahua or a Bernese Mountain Dog "
27,How do I encourage my cat to jump over a baby fence,"You'd think it would be simple but my Norwegian Forest Cat is loothe to jump over the 60 cm high fence from carpet to carpet.   Currently he will jump out from a covered cat toilet but I think he still reticent about the other way.   How do I encourage his jumping? We just put it up. It surrounds his food area, toilet and favourite window. We don't want him to use an alternate route through the baby bed which  has a rail to jump over- he has jumped in there at least once. Now he will have an extra area of his own use that is not disturbed by my one year old. How do they encourage movie cats?   "
28,General Care of a Dog's Pads?,"Peanut and I returned from our afternoon long walk, and she's passed out on my lap. She is a 2 and a half year old medium standard female Dachshund. As she was sleeping, I checked her paws, nails, pads, etc. to see if she needed any nail trimming (she didn't.)  As I was doing this, I noticed her pads have a few, well, rough patches. Now normally her pads are smooth in one direction (back to front) and slightly rough, or grippy in the other (front to back) and I'm not really sure why that is, but that's normal.  Today, however, one of her pads, left front main (or center) pad, has a patch of roughness, that I can feel in any direction. Need I be concerned? If so, what would I do (other than a vet trip, which I will if needed, but would rather home remedy it)?  How should a dog's pads be cared for, generally speaking, or do we simply leave them alone? "
29,Assimilating new puppy to cats,"My husband and I adopted a 4 month old puppy into our home with two 4 yr old cats 4 days ago. She's very mellow for a puppy and not very vocal, generally. At this point our puppy, Maya, and our cats occasionally get within 5-6 feet from each other but everyone is still on edge and only out of necessity. Maya is curious but we don't want to push our cats past their comfort zones. I understand time is the biggest factor here but I want to be sure we're instilling Maya with the right impression of the cats.   We're encouraging Maya to leave them alone by calling her away from the cats when she starts wondering toward them and using ""no"" on the occasion that she does bark at or chase them. I want to give our cats the time they each need to feel safe with her but am worried this will teach Maya she's not supposed to be near them. Is this the best approach? Any other ideas? This is my first experience introducing a puppy to cats and would love some advice.  "
30,Space between bars of bird cage guidelines,"For either making or buying a bird cage, are there any standards or conventions specifying the space between bars appropriate to each species ( cockatoo, cockatiel, parakeet, finch, etc.)?  In a couple cages I measured the space between bars was exactly one centimeter. Is that common across most cages, or does it vary by bird species? "
31,4 month old puppy RAN from crate to her bed in the living to pee on it after peeing outside just an hour ago. Always likes to pee on her bed. Why?,"I have a 4 month old puppy mongrel who is well train, very, VERY well exercised (but not over the top), command trained, space confinement / crate trained, taken out about 4 or 5 times a day to pee / poo.  She has a crate and 2 very comfy beds (exact same model) which I bought for her.  She LOVES to pee on her bed (and she really loves her bed as well it's super comfy), has happened many times before. I can't understand why and I'm thinking maybe she wants to ""claim"" the bed as hers but in that case shouldn't she just mark it with a little pee not the whole flow? And this also goes against the principle that dogs like to keep their sleeping area clean.  As such I have taken away the beds and only put it out beside me (so that I can supervise) for her to lie on it only after she has peed outside.  However just 15min ago she RAN from crate to her bed just outside the crate to pee on it after peeing outside just an hour ago. Always likes to pee on her bed. Why?  Can someone help me understand her psychology / what's going on in her mind? thanks so Much! I love my Puppy!  P.S. when she sleeps for the night in her crate and needs to pee, she diligently goes to the pee tray in her cage to pee in it which is great, I just don't understand why she wants to pee on her comfy bed "
32,Dog destroys everything I plant in flower pots,"My 2 year old dog, whenever I plant anything in some flower pots that I have in the garden, likes to dig and get it out of the flower pot. He only does it when I have something planted (so it's not because he just likes to dig) and he only stops when every plant is out of their flower pot.   I have punished him several times for that and now he seems to know that he is doing something wrong (judging by the look on his face and by the distance he keeps from me everytime he has done it) but he still can't stop doing it.  How can I stop him from de-planting all my plants out of their flower pots? Any ideas? "
33,What treats are safe for horses?,The care of horses can be opinionated and there is a lot of varying ideas about what is safe for horses to have as treats and the quantities.   So the question is:  What treats are safe for horses and in what amounts? Are there any considerations that we need to be aware of when feeding horses treats? 
34,Any research on whether we should adopt a companion for the cat?,"I have a four-year-old female cat. She had a male companion until she was 6 months old, when she lost him to an accident. Ever since, she has been alone. My fiancée and myself have a very busy life. I only spend 2-3 hours a day at home in the weekdays. My fiancée, although she works from home, she travels quite often. The cat ends up spending the whole day on her own.   My only concern is my cat's well being. I wonder, if there is any scientifically-backed reasons to adopt another kitten, to be a companion for my cat. Does my cat feel lonely, sad, or depressed because she does not have anyone to play or fight with? Will another cat contribute positively to her well being. Is there any research on the topic? "
35,My cat won't stop licking himself?,"My cat recently got neutered and must wear the e-collar as he's already ripped open the incision once. Most of the time he's licking the collar trying to get at his wound.   That's not the problem. I remove the collar every once in a while (closely supervised) so he can have some time to relax. When I take off the collar he won't stop licking and gnawing at his upper chest, upper front arms, and scratching the back of his head. He's not even going for the incision.   This wasn't an issue before he got the e-collar (except for the occasional scratching). He's already gotten flea medicine when we got him about a month ago.   Is there something wrong? Should I see a vet? (We have an appointment next week as a follow-up) "
36,"Medically, what does it mean when a dog smacks her lips repeatedly?","My Dachshund, a spayed female, 16 months old, is exhibiting a behavior that I wonder at. Our previous dog, a Labrador/Doberman mix, never did it, as far as we can recall (we had him his whole life, 17years.)  Most of the time, she keeps her mouth shut (barring tasting, biting, eating, etc.) But every once and a while, it's like she gets a dry mouth. She'll start smacking her lips, and licking them. It's not too much saliva, as she doesn't drool at all. We try to put her next to her water dishes, but most of the time she doesn't drink. She did this behavior again last night, and promptly up-chucked a nice pile.  We just had her at the vet, for an all day comprehensive check up and vaccination update. They didn't notice anything, so she either didn't do it, or they didn't think it was worth mentioning. (My wife dropped her off and picked her up, and I forgot to ask her to ask them.)  Does anyone know why she might be doing this? Or know if it is ""normal"" behavior in a very vertically-challenged dog? "
37,"I'd like to adopt a cat, but I have allergies","Me and my SO would like to adopt a cat, however we have some concerns:   Her parents have a cat (russian blue) and I'm quite allergic to it My nose starts running My eyes turn red and become itchy   I used to own a cat years ago when I lived with my parents, however it was a countryside and cat most of the time, obiviously, was living outdoors. There were no issues back then.  Only thing I can think of after doodling and googling around would be allergy to their dandruff (apologies if it's not right word).  Are there any species (I was adviced to adopt siberian cat) that I could live with?  Other things worth mentioning:   We live in a 35m2 flat I've head breathing issues since 7 y/o I'm using Salbutamol on daily basis. Mostly once a day   Is there anything else I should consider before adopting? "
38,Is okay for my dog to not eat or excrete waste while receiving Buprenex for pain relief?,"My dog has an inflamed knee and her veterinarian recommended she undergo surgery to fix the cause of the inflammation. For now the doctor gave me a supply of Buprenex for pain management.  While she's on the drug she doesn't eat or do her business. I can't tell if she's drinking either. She is almost always sleeping or half-asleep, with a very stoned look, having sluggish movements and even aborted maneuvers.  When I ask for her attention she peps up and is her attentive self again, but only for a moment. She is quickly subdued back into her medicated state.  She is a 5 lb chihuahua, orally receiving 0.1 ml of Buprenex every 8-12 hours, with the goal of managing pain during healing or until having surgery.  I've decided to do the surgery after understanding what this treatment option is like.  But I won't be able to get advice or schedule the surgery until the animal hospital opens again tomorrow.  So, I'm asking about Buprenex here because it is now day two where she hasn't taken in or expelled anything, and I'm not sure if this is normal or enough of a concern to stop treating her pain. I have worries such as:   Is this normal, considering she is so inactive? How long can she go without eating or using the bathroom? I haven't seen her drink, what should I be thinking in regards to that? If she moves as if in pain (limping or hopping gingerly, walking awkwardly, bottoming out instead of supporting her weight on the bad knee) but has a normal appetite and digestive cycle, is that better than how she is now?  "
39,How is owning a deaf cat different from a cat who can hear?,"Anyone own or used to own deaf cat?  If so, what was it like?  Was it lot of works compared to hearing cat? What kind of signs/signals you use to communicate deaf cat?   Thank you for answering! "
40,"Mouse is acting strangely, what should I do?","I was coming home last night and the street light in front of my house was out again so I was driving slowly down the hill. I see this mouse in the middle of the road going around in a counterclockwise circle following it's tail.  I stopped otherwise I would have ran it over.  Then I park the car and get out and try and shoe the mice away into some bushes but it won't leave so I go around and park my car at the house.  If it stayed there it would get run over for sure. When I looked at this mouse's face it looked really sad. I come back with a foam tray to push it a bit because I don't want to touch it, but it isn't budging.  Then I go get a broom to try and sweep it a bit but it runs around in a much bigger counterclockwise circle with small circles and then goes and sits in the middle of the road again. Then I'm trying to get it to move with the broom and it just sits there without minding being poked by the broom and it makes some sad squeaks and a sad face.  It was really late almost 1 a.m. but eventually I get it into a box and keep it in my back yard.  I put in a bowl of water, a banana and some walnuts in the box and another box with holes on top so the birds don't get at the mouse.  Today I went to look and it had escaped the box somehow, eaten a bit of banana and left a few strands of hair in the water bowl so I thought the problem solved itself and the mouse went away.  But then I saw the mouse 5 feet away half under a hedge in the yard and ants were crawling on the poor thing :(  I got a better box and then I got a kitchen mitten and wrapped it in plastic wrap so I could pick up the mouse and put it in the box.  The mouse was really docile and it made these really sad squeaks. I think it started to play dead a little bit when I put it in the box.  How do I fix this mouse so it can go back into the wild and do mouse things?  tl;dr : I found a mouse that I think is either depressed, hurt it's foot, or is pregnant. I don't know if the mouse is exhibiting regular mouse behavior or if something is wrong with it. Also I don't know how to tell mouse gender so I can't rule out pregnant. But this mouse seems really unlucky or prone to dying, what should I do?  p.s. also I did my best to be descriptive but I most likely missed things so please feel free to ask me questions and I will do my best to answer them. "
41,Should I get a bigger cage for my Lovebird?,"so my family has had a single Lovebird for plenty of years now, but its cage is about 15"" W x 15"" L x 18"" H. It wasn't until recently that I learned that the cage I bought might be bad for them, so I wanted to ask, should I get a bigger one? If so, what size would be recommended? "
42,Why does my cat's meow have no sound?,"I've looked all over for an explanation. Surprisingly, there's not much information about this (most being theories).  Are there any cat experts that can explain this? I've heard ""the sound is too high pitched for humans to hear"", which would be neat, but seems as if it would be testable and confirmed by now.  My Question  Only one of my cats silently meow, most of the time giving no sound at all. Why does her meows give no sound?  Extra Details  She is around (estimated) 10 years old. In her early years, she wasn't very talkative. She was an outside cat until she got injured, which we had to amputate her tail. She has been an inside cat ever since. She has become very affectionate since then, which has brought on the meowing, which most of the time give no sound. "
43,Why are dog belly buttons so different from our own?,"I'm going to assume that no one needs to be told what human belly buttons look like.  But most people probably don't know what dog belly buttons look like.  Here's a photo of one, which should make it easier to understand why we usually don't notice them:    I'm guessing that the difference between the two has something to do with the way the knot is tied, but is there a more thorough explanation?  Why are dog belly buttons so different from our own? "
